"id","ncmoe","ts","ub","cache","result","boot_s","gpu0_mb","gpu1_mb","ram_avail_mb","err_tail"
"B262-n24-ts30_18-ub2048-c64","24","30,18","2048","64","FAIL","25","1305","0","37394","0.14.753.279 E cmn  common_init_: failed to create context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.14.753.281 E srv    load_model: failed to create_context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.14.753.288 I srv   operator (): operator (): cleaning up before exit... | 0.14.754.802 E srv  llama_server: exiting due to model loading error"
"B262-n24-ts30_18-ub1024-c64","24","30,18","1024","64","FAIL","25","1288","0","37274","0.14.787.546 E cmn  common_init_: failed to create context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.14.787.549 E srv    load_model: failed to create_context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.14.787.556 I srv   operator (): operator (): cleaning up before exit... | 0.14.788.959 E srv  llama_server: exiting due to model loading error"
"B262-n24-ts30_18-ub512-c64","24","30,18","512","64","FAIL","18","1220","0","37308","0.12.748.886 E cmn  common_init_: failed to create context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.12.748.889 E srv    load_model: failed to create_context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.12.748.893 I srv   operator (): operator (): cleaning up before exit... | 0.12.750.025 E srv  llama_server: exiting due to model loading error"
"B262-n24-ts32_16-ub2048-c64","24","32,16","2048","64","FAIL","18","421","0","36604","0.10.309.076 E cmn  common_init_: failed to create context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.10.309.080 E srv    load_model: failed to create_context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.10.309.084 I srv   operator (): operator (): cleaning up before exit... | 0.10.310.416 E srv  llama_server: exiting due to model loading error"
"B262-n24-ts32_16-ub1024-c64","24","32,16","1024","64","FAIL","18","415","0","36751","0.12.326.534 E cmn  common_init_: failed to create context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.12.326.536 E srv    load_model: failed to create_context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.12.326.540 I srv   operator (): operator (): cleaning up before exit... | 0.12.327.406 E srv  llama_server: exiting due to model loading error"
"B262-n24-ts32_16-ub512-c64","24","32,16","512","64","FAIL","20","606","0","36816","0.09.081.954 E cmn  common_init_: failed to create context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.09.081.956 E srv    load_model: failed to create_context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.09.081.960 I srv   operator (): operator (): cleaning up before exit... | 0.09.082.668 E srv  llama_server: exiting due to model loading error"
"B262-n26-ts30_18-ub2048-c64","26","30,18","2048","64","FAIL","20","565","0","36908","0.08.742.003 E cmn  common_init_: failed to create context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.08.742.004 E srv    load_model: failed to create_context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.08.742.008 I srv   operator (): operator (): cleaning up before exit... | 0.08.743.022 E srv  llama_server: exiting due to model loading error"
"B262-n26-ts30_18-ub1024-c64","26","30,18","1024","64","FAIL","25","652","0","36798","0.12.749.174 E cmn  common_init_: failed to create context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.12.749.175 E srv    load_model: failed to create_context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.12.749.182 I srv   operator (): operator (): cleaning up before exit... | 0.12.751.117 E srv  llama_server: exiting due to model loading error"
"B262-n26-ts30_18-ub512-c64","26","30,18","512","64","FAIL","25","565","0","36888","0.13.022.040 E cmn  common_init_: failed to create context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.13.022.043 E srv    load_model: failed to create_context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.13.022.046 I srv   operator (): operator (): cleaning up before exit... | 0.13.024.577 E srv  llama_server: exiting due to model loading error"
"B262-n26-ts32_16-ub2048-c64","26","32,16","2048","64","FAIL","25","532","0","36509","0.13.528.880 E cmn  common_init_: failed to create context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.13.528.882 E srv    load_model: failed to create_context with model 'C:\AI\models\ISTA-DASLab-Qwen3.8-Flash-Next-GSQ-RCO\Q2_0\Qwen3.8-Flash-Next-GSQ-RCO-Q2_0-00001-of-00002.gguf' | 0.13.528.888 I srv   operator (): operator (): cleaning up before exit... | 0.13.530.360 E srv  llama_server: exiting due to model loading error"
