"run_id","timestamp","artifact_revision","runtime_commit","ctx_allocated","kv_k","kv_v","batch","ubatch","split_mode","tensor_split","placement","n_cpu_moe","threads","threads_batch","load_mode","tensor_read_lazy","prompt_tokens","output_tokens","prompt_tps","decode_tps","ttft_proxy_s","request_wall_s","gpu0_used_mb","gpu0_free_mb","gpu1_used_mb","gpu1_free_mb","total_dedicated_mb","gpu0_util","gpu1_util","ram_used_mb","ram_avail_mb","proc_ws_mb","proc_priv_mb","pagefile_mb","success","failure_reason","notes"
"smoke8-baseline","2026-09-23 04:51:17","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8449","15452,34","34","14","20","mmap","on","0","0","0","0","20.95","20.95","6689","5593","10268","6015","16957","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","45687","3149","25707","20624","20624","FAIL","parse-fail"," probe=decode phase=rep1"
"smoke9-baseline","2026-09-23 04:56:33","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8449","15452,34","34","14","20","mmap","on","0","0","0","0","20.89","20.89","6689","5593","10268","6015","16957","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","45480","3357","25715","20627","20627","FAIL","parse-fail: The property 'error' cannot be found on this object. Verify that the property exists."," probe=decode phase=rep1"
"nf1-baseline","2026-09-23 05:03:34","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8449","15452,34","34","14","20","mmap","on","74","69","6.46","6.19","22.48","22.48","6692","5590","10268","6015","16960","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","45825","3012","25716","20628","20628","PASS",""," probe=decode phase=rep1 answer=correct-sum"
"nf1-baseline","2026-09-23 05:03:44","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8449","15452,34","34","14","20","mmap","on","74","69","5.99","7.66","9.57","9.57","6692","5590","10268","6015","16960","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","45979","2857","25833","20628","20628","PASS",""," probe=decode phase=rep2 answer=correct-sum"
"nf1-baseline","2026-09-23 05:03:55","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8449","15452,34","34","14","20","mmap","on","74","69","6.34","7.51","9.7","9.7","6709","5573","10274","6009","16983","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","46047","2790","25864","20681","20681","PASS",""," probe=decode phase=rep3 answer=correct-sum"
"c-ncmoe40","2026-09-23 05:08:55","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8449","15452,40","40","14","20","mmap","on","74","69","5.85","5.88","24.26","24.26","5480","6802","7432","8851","12912","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","44098","4738","23729","16561","16561","PASS",""," probe=decode phase=rep1 answer=correct-sum"
"c-ncmoe40","2026-09-23 05:09:06","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8449","15452,40","40","14","20","mmap","on","74","69","5.36","7.21","10.21","10.21","5487","6795","7432","8851","12919","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","44227","4610","23881","16561","16561","PASS",""," probe=decode phase=rep2 answer=correct-sum"
"c-ncmoe48","2026-09-23 05:12:39","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8449","15452,48","48","14","20","mmap","on","74","69","4.89","4.84","29.2","29.2","3850","8432","3646","12637","7496","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","41363","7473","20810","11132","11132","PASS",""," probe=decode phase=rep1 answer=correct-sum"
"c-ncmoe48","2026-09-23 05:12:51","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8449","15452,48","48","14","20","mmap","on","74","69","4.67","6.25","11.75","11.75","3853","8429","3646","12637","7499","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","40864","7972","21002","11135","11135","PASS",""," probe=decode phase=rep2 answer=correct-sum"
"c-ncmoe26","2026-09-23 05:16:32","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8449","15452,26","26","14","20","mmap","on","74","69","8.06","7.56","18.21","18.21","8313","3969","14048","2235","22361","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47624","1213","28635","26045","26045","PASS",""," probe=decode phase=rep1 answer=correct-sum"
"c-ncmoe26","2026-09-23 05:16:41","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8449","15452,26","26","14","20","mmap","on","74","69","7.06","9.22","7.96","7.96","8354","3928","14068","2215","22422","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47735","1101","28793","26195","26195","PASS",""," probe=decode phase=rep2 answer=correct-sum"
"c-ncmoe22","2026-09-23 05:20:57","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8449","15452,22","22","14","20","mmap","on","0","0","0","0","0","0","913","0","87","0","1000","","","0","0","0","0","0","FAIL","boot-failed",""
