"run_id","timestamp","exe","exe_version","ctx","b","ub","sm","ts","ncmoe","t","tb","extra","probe","phase","prompt_tokens","prompt_n","output_tokens","prompt_tps","decode_tps","request_wall_s","gpu0_used_mb","gpu1_used_mb","gpu0_util","gpu1_util","ram_used_mb","ram_avail_mb","proc_ws_mb","success","failure_reason","notes"
"ub512-r1","2026-09-23 09:04:41","C:\AI\llama.cpp-unsloth-mirror\build-mirror\bin\llama-server.exe","0.3.0-dev (build 215, commit 9f55aee)","16384","2048","512","tensor","8500,16000","24","14","20","","decode","rep1","74","74","69","10.93","9.15","14.24","8578","14906","5","23","41616","7221","29374","PASS","","ub-sweep mirror post-restart"
"ub512-r1","2026-09-23 09:06:57","C:\AI\llama.cpp-unsloth-mirror\build-mirror\bin\llama-server.exe","0.3.0-dev (build 215, commit 9f55aee)","16384","2048","512","tensor","8500,16000","24","14","20","","pre4k","rep1","3077","3077","64","23.76","11.21","135.29","8725","14962","25","19","47688","1148","36587","PASS","","ub-sweep mirror post-restart"
"ub512-r1","2026-09-23 09:15:21","C:\AI\llama.cpp-unsloth-mirror\build-mirror\bin\llama-server.exe","0.3.0-dev (build 215, commit 9f55aee)","16384","2048","512","tensor","8500,16000","24","14","20","","pre16k","rep1","12090","12090","64","24.28","10.96","503.65","8674","14964","26","15","48037","799","36974","PASS","","ub-sweep mirror post-restart"
"ub2048-r2","2026-09-23 09:16:05","C:\AI\llama.cpp-unsloth-mirror\build-mirror\bin\llama-server.exe","0.3.0-dev (build 215, commit 9f55aee)","16384","2048","2048","tensor","8500,16000","24","14","20","","decode","rep1","74","74","69","14.63","10.81","11.38","9346","15636","24","0","40830","8006","29809","PASS","","ub-sweep mirror post-restart"
"ub2048-r2","2026-09-23 09:18:23","C:\AI\llama.cpp-unsloth-mirror\build-mirror\bin\llama-server.exe","0.3.0-dev (build 215, commit 9f55aee)","16384","2048","2048","tensor","8500,16000","24","14","20","","pre4k","rep1","3077","3077","64","23.33","10.89","137.84","9641","15682","21","21","48271","566","37061","PASS","","ub-sweep mirror post-restart"
"L-ts30_18-ub2048","2026-09-23 09:25:25","C:\AI\llama.cpp-unsloth-mirror\build-mirror\bin\llama-server.exe","0.3.0-dev (build 215, commit 9f55aee)","16384","2048","2048","layer","30,18","24","14","20","","decode","rep1","74","74","69","14.37","10.05","11.96","8962","14106","20","11","41303","7534","29245","PASS","","layer-vs-tensor"
"L-ts30_18-ub2048","2026-09-23 09:25:46","C:\AI\llama.cpp-unsloth-mirror\build-mirror\bin\llama-server.exe","0.3.0-dev (build 215, commit 9f55aee)","16384","2048","2048","layer","30,18","24","14","20","","pre4k","rep1","3077","3077","64","222.29","10.34","20.05","9021","14160","6","12","48049","787","36490","PASS","","layer-vs-tensor"
"L-ts30_18-ub2048","2026-09-23 09:26:20","C:\AI\llama.cpp-unsloth-mirror\build-mirror\bin\llama-server.exe","0.3.0-dev (build 215, commit 9f55aee)","16384","2048","2048","layer","30,18","24","14","20","","pre16k","rep1","12090","12090","64","452.3","10.03","33.08","9008","14160","6","21","48079","757","36893","PASS","","layer-vs-tensor"
"L-ts30_18-ub4096","2026-09-23 09:26:52","C:\AI\llama.cpp-unsloth-mirror\build-mirror\bin\llama-server.exe","0.3.0-dev (build 215, commit 9f55aee)","16384","4096","4096","layer","30,18","24","14","20","","decode","rep1","74","74","69","19.93","11.31","9.76","9636","14944","21","0","40714","8122","29471","PASS","","layer-vs-tensor"
"L-ts30_18-ub4096","2026-09-23 09:27:16","C:\AI\llama.cpp-unsloth-mirror\build-mirror\bin\llama-server.exe","0.3.0-dev (build 215, commit 9f55aee)","16384","4096","4096","layer","30,18","24","14","20","","pre4k","rep1","3077","3077","64","171.76","11.42","23.56","9766","15024","21","12","47778","1059","36592","PASS","","layer-vs-tensor"
"L-ts30_18-ub4096","2026-09-23 09:27:48","C:\AI\llama.cpp-unsloth-mirror\build-mirror\bin\llama-server.exe","0.3.0-dev (build 215, commit 9f55aee)","16384","4096","4096","layer","30,18","24","14","20","","pre16k","rep1","12090","12090","64","473.98","11.02","31.29","9794","15054","23","13","48268","569","37146","PASS","","layer-vs-tensor"
"T-ctrl-ub512","2026-09-23 09:28:39","C:\AI\llama.cpp-unsloth-mirror\build-mirror\bin\llama-server.exe","0.3.0-dev (build 215, commit 9f55aee)","16384","2048","512","tensor","8500,16000","24","14","20","","decode","rep1","74","74","69","15.64","8.32","12.93","8810","14906","1","17","41496","7341","29374","PASS","","layer-vs-tensor"
"T-ctrl-ub512","2026-09-23 09:31:03","C:\AI\llama.cpp-unsloth-mirror\build-mirror\bin\llama-server.exe","0.3.0-dev (build 215, commit 9f55aee)","16384","2048","512","tensor","8500,16000","24","14","20","","pre4k","rep1","3077","3077","64","22.35","11.34","143.42","8885","14962","16","26","47784","1053","36596","PASS","","layer-vs-tensor"
"T-ctrl-ub512","2026-09-23 09:39:30","C:\AI\llama.cpp-unsloth-mirror\build-mirror\bin\llama-server.exe","0.3.0-dev (build 215, commit 9f55aee)","16384","2048","512","tensor","8500,16000","24","14","20","","pre16k","rep1","12090","12090","64","24.15","10.72","506.59","8983","14964","0","14","48564","273","36783","PASS","","layer-vs-tensor"
