arm,work,temp,rep,wall_s,prompt_n,predicted_n,predicted_per_second,draft_n,draft_n_accepted,accept_rate,eff_tps
mtp-n2-c1,rep,1.0,1,80.5,1055,1016,18.89,680,676,0.994,18.91
mtp-n2-c1,rep,0.0,1,60.1,1055,1016,18.87,680,676,0.994,18.89
mtp-n2-c1,new,1.0,1,34.6,51,512,15.29,420,300,0.714,15.32
mtp-n2-c1,new,0.0,1,29.45,51,512,17.89,372,325,0.874,17.92
mtp-n2-c3b,rep,1.0,1,75.98,1055,1016,21.05,678,677,0.999,21.07
mtp-n2-c3b,rep,0.0,1,46.63,1055,1016,24.53,678,677,0.999,24.55
mtp-n2-c3b,new,1.0,1,25.65,51,512,20.96,387,317,0.819,21.0
mtp-n2-c3b,new,0.0,1,27.23,51,512,19.38,368,327,0.889,19.42
mtp-n3-c4,rep,1.0,1,52.25,1055,1016,35.44,771,758,0.983,35.48
mtp-n3-c4,rep,0.0,1,29.4,1055,1016,39.35,771,759,0.984,39.39
mtp-n3-c4,new,1.0,1,17.64,51,512,30.8,474,353,0.745,30.86
mtp-n3-c4,new,0.0,1,15.41,51,512,34.9,456,358,0.785,34.96
nospec-n32,rep,1.0,1,60.94,1055,1016,23.86,,,,23.88
nospec-n32,rep,0.0,1,43.34,1055,1016,25.42,,,,25.44
nospec-n32,new,1.0,1,21.49,51,512,25.05,,,,25.1
nospec-n32,new,0.0,1,20.07,51,512,26.55,,,,26.6
mtp-n4-c5-a,rep,1.0,1,52.7,1055,1016,35.28,844,807,0.956,35.32
mtp-n4-c5-a,rep,0.0,1,29.97,1055,1016,38.4,844,805,0.954,38.43
mtp-n4-c5-a,new,1.0,1,19.75,51,512,27.35,592,363,0.613,27.4
mtp-n4-c5-a,new,0.0,1,16.12,51,512,33.3,546,374,0.685,33.37
mtp-n3-c4-a,rep,1.0,1,54.43,1055,1016,32.4,771,759,0.984,32.43
mtp-n3-c4-a,rep,0.0,1,31.89,1055,1016,36.75,774,759,0.981,36.78
mtp-n3-c4-a,new,1.0,1,18.5,51,512,29.27,498,344,0.691,29.33
mtp-n3-c4-a,new,0.0,1,16.49,51,512,32.54,465,356,0.766,32.6
mtp-n3-c4-b,rep,1.0,1,51.61,1055,1016,35.83,774,758,0.979,35.86
mtp-n3-c4-b,rep,0.0,1,29.4,1055,1016,39.08,774,759,0.981,39.12
mtp-n3-c4-b,new,1.0,1,18.42,51,512,29.44,492,346,0.703,29.5
mtp-n3-c4-b,new,0.0,1,15.76,51,512,34.21,463,356,0.769,34.28
mtp-n4-c5-b,rep,1.0,1,55.9,1055,1016,34.01,836,808,0.967,34.05
mtp-n4-c5-b,rep,0.0,1,31.31,1055,1016,36.8,840,808,0.962,36.84
mtp-n4-c5-b,new,1.0,1,20.08,51,512,26.98,584,365,0.625,27.03
mtp-n4-c5-b,new,0.0,1,17.03,51,512,31.5,532,377,0.709,31.56
duo-n3-a,rep,1.0,1,52.94,1055,1016,34.79,1057,972,0.92,34.82
duo-n3-a,rep,0.0,1,22.68,1055,1016,52.74,1024,983,0.96,52.79
duo-n3-a,new,1.0,1,18.02,51,512,30.17,487,348,0.715,30.23
duo-n3-a,new,0.0,1,18.16,51,512,29.43,594,366,0.616,29.49
mtp-n3-c4-c,rep,1.0,1,52.05,1055,1016,36.1,774,759,0.981,36.14
mtp-n3-c4-c,rep,0.0,1,29.83,1055,1016,38.52,774,759,0.981,38.56
mtp-n3-c4-c,new,1.0,1,21.13,51,512,25.57,477,352,0.738,25.62
mtp-n3-c4-c,new,0.0,1,17.48,51,512,30.85,453,359,0.792,30.91
duo-n3-b,rep,1.0,1,53.69,1055,1016,35.31,1057,972,0.92,35.34
duo-n3-b,rep,0.0,1,22.57,1055,1016,53.67,1024,983,0.96,53.73
duo-n3-b,new,1.0,1,17.51,51,512,31.12,472,353,0.748,31.18
duo-n3-b,new,0.0,1,16.45,51,512,32.63,517,364,0.704,32.69
ng-12-16-32-a,rep,1.0,1,55.6,1055,1016,34.44,1057,972,0.92,34.47
ng-12-16-32-a,rep,0.0,1,22.32,1055,1016,54.51,1024,983,0.96,54.57
ng-12-16-32-a,new,1.0,1,18.69,51,512,28.93,508,341,0.671,28.98
ng-12-16-32-a,new,0.0,1,17.29,51,512,30.91,522,359,0.688,30.97
ng-12-16-64-a,rep,1.0,1,48.49,1055,1016,40.88,1121,987,0.88,40.92
ng-12-16-64-a,rep,0.0,1,19.85,1055,1016,62.51,1088,998,0.917,62.57
ng-12-16-64-a,new,1.0,1,17.72,51,512,30.67,470,354,0.753,30.73
ng-12-16-64-a,new,0.0,1,21.69,51,512,24.44,871,362,0.416,24.49
ng-24-16-64-a,rep,1.0,1,52.81,1055,1016,35.44,1093,975,0.892,35.48
ng-24-16-64-a,rep,0.0,1,19.83,1055,1016,63.18,1086,997,0.918,63.24
ng-24-16-64-a,new,1.0,1,18.24,51,512,29.76,477,351,0.736,29.82
ng-24-16-64-a,new,0.0,1,15.96,51,512,33.93,505,361,0.715,34.0
ng-24-16-64-b,rep,1.0,1,50.43,1055,1016,38.23,1093,975,0.892,38.27
ng-24-16-64-b,rep,0.0,1,19.76,1055,1016,63.78,1086,997,0.918,63.84
ng-24-16-64-b,new,1.0,1,17.56,51,512,30.85,477,351,0.736,30.91
ng-24-16-64-b,new,0.0,1,17.67,51,512,30.24,635,357,0.562,30.3
ng-12-16-64-b,rep,1.0,1,52.25,1055,1016,35.32,1121,987,0.88,35.35
ng-12-16-64-b,rep,0.0,1,20.45,1055,1016,60.99,1088,998,0.917,61.05
ng-12-16-64-b,new,1.0,1,21.8,51,512,24.61,471,353,0.749,24.66
ng-12-16-64-b,new,0.0,1,21.91,51,512,24.3,672,364,0.542,24.34
ng-12-16-32-b,rep,1.0,1,57.68,1055,1016,31.19,1057,972,0.92,31.22
ng-12-16-32-b,rep,0.0,1,24.85,1055,1016,48.49,1024,983,0.96,48.53
ng-12-16-32-b,new,1.0,1,19.31,51,512,28.1,462,356,0.771,28.16
ng-12-16-32-b,new,0.0,1,26.48,51,512,19.87,584,359,0.615,19.91
hr-ctl-n32-d0-a,rep,1.0,1,58.21,1055,1016,34.32,1093,975,0.892,34.35
hr-ctl-n32-d0-a,rep,0.0,1,21.88,1055,1016,58.12,1086,997,0.918,58.17
hr-ctl-n32-d0-a,new,1.0,1,39.15,51,512,13.43,463,356,0.769,13.46
hr-ctl-n32-d0-a,new,0.0,1,21.74,51,512,24.5,636,356,0.56,24.55
hr-n36-d1-a,rep,1.0,1,57.3,1055,1016,35.53,1093,975,0.892,35.57
hr-n36-d1-a,rep,0.0,1,20.82,1055,1016,59.81,1086,997,0.918,59.86
