arm,work,temp,rep,wall_s,prompt_n,predicted_n,predicted_per_second,draft_n,draft_n_accepted,accept_rate,eff_tps
S0-none,rep,1.0,1,63.23,1055,1016,24.76,,,,24.78
S0-none,rep,0.0,1,40.56,1055,1016,27.13,,,,27.16
S0-none,new,1.0,1,20.32,51,512,26.73,,,,26.78
S0-none,new,0.0,1,19.12,51,512,27.71,,,,27.76
S0-none,rep,1.0,2,40.85,1055,1016,27.01,,,,27.04
S0-none,rep,0.0,2,49.28,1055,1016,21.97,,,,22.0
S0-none,new,1.0,2,22.18,51,512,23.92,,,,23.97
S0-none,new,0.0,2,20.79,51,512,25.61,,,,25.66
S3-12-4-12,rep,1.0,1,58.77,1055,1016,29.87,924,902,0.976,29.9
S3-12-4-12,rep,0.0,1,71.55,1055,1016,29.6,948,936,0.987,29.63
S3-12-4-12,new,1.0,1,34.36,51,512,15.35,12,1,0.083,15.38
S3-12-4-12,new,0.0,1,31.18,51,512,16.83,192,117,0.609,16.87
S3-12-4-12,rep,1.0,2,34.95,1055,1016,37.83,960,934,0.973,37.86
S3-12-4-12,rep,0.0,2,35.99,1055,1016,35.76,948,936,0.987,35.8
S3-12-4-12,new,1.0,2,47.91,51,512,10.92,89,15,0.169,10.94
S3-12-4-12,new,0.0,2,24.46,51,512,21.62,437,356,0.815,21.66
S2-12-8-24,rep,1.0,1,59.06,1055,1016,39.82,960,939,0.978,39.86
S2-12-8-24,rep,0.0,1,34.36,1055,1016,39.69,1032,972,0.942,39.73
S2-12-8-24,new,1.0,1,54.42,51,512,9.56,24,1,0.042,9.58
S2-12-8-24,new,0.0,1,71.05,51,512,7.28,168,29,0.173,7.29
S2-12-8-24,rep,1.0,2,25.1,1055,1016,47.48,1032,972,0.942,47.52
S2-12-8-24,rep,0.0,2,25.04,1055,1016,46.95,1032,972,0.942,46.99
S2-12-8-24,new,1.0,2,24.54,51,512,21.45,96,27,0.281,21.5
S2-12-8-24,new,0.0,2,14.88,51,512,36.08,504,437,0.867,36.15
S1-12-16-32,rep,1.0,1,43.99,1055,1016,40.92,1024,947,0.925,40.96
S1-12-16-32,rep,0.0,1,21.6,1055,1016,55.92,1024,983,0.96,55.97
S1-12-16-32,new,1.0,1,22.35,51,512,23.88,32,1,0.031,23.93
S1-12-16-32,new,0.0,1,24.48,51,512,21.54,160,14,0.087,21.59
S1-12-16-32,rep,1.0,2,22.55,1055,1016,53.83,1056,981,0.929,53.88
S1-12-16-32,rep,0.0,2,23.74,1055,1016,52.2,1024,983,0.96,52.25
S1-12-16-32,new,1.0,2,24.56,51,512,21.45,190,18,0.095,21.49
S1-12-16-32,new,0.0,2,18.2,51,512,29.35,480,356,0.742,29.41
S4-24-48-64,rep,1.0,1,91.05,1055,1016,22.67,1023,909,0.889,22.69
S4-24-48-64,rep,0.0,1,91.27,1055,1016,15.92,1024,937,0.915,15.93
S4-24-48-64,new,1.0,1,184.48,51,512,2.79,,,,2.79
S4-24-48-64,new,0.0,1,40.3,51,512,12.94,64,4,0.062,12.97
S4-24-48-64,rep,1.0,2,56.06,1055,1016,20.39,1024,937,0.915,20.41
S4-24-48-64,rep,0.0,2,85.35,1055,1016,17.04,1024,937,0.915,17.05
S4-24-48-64,new,1.0,2,166.51,51,512,3.08,64,2,0.031,3.09
S4-24-48-64,new,0.0,2,36.41,51,512,14.32,576,376,0.653,14.35
S0-none-b,rep,1.0,1,117.65,1055,1016,10.49,,,,10.5
S0-none-b,rep,0.0,1,93.51,1055,1016,12.81,,,,12.83
S0-none-b,new,1.0,1,51.47,51,512,10.18,,,,10.2
S0-none-b,new,0.0,1,36.56,51,512,14.48,,,,14.51
S0-none-b,rep,1.0,2,54.15,1055,1016,20.73,,,,20.75
S0-none-b,rep,0.0,2,44.99,1055,1016,24.54,,,,24.56
S0-none-b,new,1.0,2,20.87,51,512,25.49,,,,25.54
S0-none-b,new,0.0,2,19.75,51,512,26.81,,,,26.86
