"id","ncmoe","ts","ub","cache","result","g0_base","g0_peak","g0_total","g1_base","g1_peak","g1_total","fail_device","fail_mib"
"M262-n24-ts30_18-ub512-c64","24","30,18","512","64","FAIL","566","10490","12282","0","13888","16311","0","1851.54"
"M262-n24-ts31_17-ub512-c64","24","31,17","512","64","FAIL","545","11377","12282","0","12988","16311","0","1855.55"
"M262-n24-ts32_16-ub512-c64","24","32,16","512","64","FAIL","561","11683","12282","0","12180","16311","0","1855.55"
"M262-n24-ts33_15-ub512-c64","24","33,15","512","64","FAIL","439","11863","12282","0","10838","16311","0","1152.00"
"M262-n26-ts30_18-ub512-c64","26","30,18","512","64","FAIL","442","7603","12282","0","13038","16311","1","1788.94"
"M262-n26-ts31_17-ub512-c64","26","31,17","512","64","BOOT-OK","442","11877","12282","0","14892","16311","",""
"M262-n26-ts32_16-ub512-c64","26","32,16","512","64","FAIL","442","10890","12282","0","12254","16311","0","1855.55"
"M262-n26-ts33_15-ub512-c64","26","33,15","512","64","FAIL","442","11329","12282","0","11414","16311","0","1855.55"
"M262-n28-ts30_18-ub512-c64","28","30,18","512","64","FAIL","464","6835","12282","0","13038","16311","1","1788.94"
"M262-n28-ts31_17-ub512-c64","28","31,17","512","64","BOOT-OK","508","10905","12282","0","14892","16311","",""
"M262-n28-ts32_16-ub512-c64","28","32,16","512","64","BOOT-OK","523","11642","12282","0","14158","16311","",""
"M262-n28-ts33_15-ub512-c64","28","33,15","512","64","FAIL","522","10571","12282","0","11446","16311","0","1855.55"
"M256k-n24-ts29_19-ub512-c64","24","29,19","512","64","FAIL","787","11501","12282","0","15522","16311","1","1788.94"
"M256k-n24-ts28_20-ub512-c64","24","28,20","512","64","FAIL","633","7887","12282","0","14502","16311","1","1788.94"
"M128k-n24-ts30_18-ub1024-c64","24","30,18","1024","64","BOOT-OK","598","11879","12282","0","15510","16311","",""
"M128k-n24-ts29_19-ub1024-c64","24","29,19","1024","64","FAIL","694","9166","12282","0","13772","16311","1","1909.11"
"M128k-n26-ts31_17-ub1024-c64","26","31,17","1024","64","BOOT-OK","796","11750","12282","0","14684","16311","",""
"M64k-n24-ts30_18-ub2048-c64","24","30,18","2048","64","BOOT-OK","749","11966","12282","0","15550","16311","",""
