12.50.529 I slot print_timing: id  0 | task 1 | prompt eval time =   47542.50 ms / 31721 tokens (    1.50 ms per token,   667.20 tokens per second)
12.50.529 I slot print_timing: id  0 | task 1 |        eval time =   12901.70 ms /   634 tokens (   20.35 ms per token,    49.10 tokens per second)
12.50.529 I slot print_timing: id  0 | task 1 | draft acceptance = 0.65987 (  421 accepted /   638 generated)
12.50.529 I slot print_timing: id  0 | task 1 | reasoning effort = xhigh
27.25.376 I slot print_timing: id  0 | task 3 | prompt eval time =    1754.30 ms /   871 tokens (    2.01 ms per token,   496.50 tokens per second)
27.25.376 I slot print_timing: id  0 | task 3 |        eval time =    5271.90 ms /   251 tokens (   21.00 ms per token,    47.60 tokens per second)
27.25.376 I slot print_timing: id  0 | task 3 | draft acceptance = 0.58824 (  160 accepted /   272 generated)
27.25.376 I slot print_timing: id  0 | task 3 | reasoning effort = xhigh
28.02.774 I slot print_timing: id  0 | task 3 | prompt eval time =   27983.50 ms / 21533 tokens (    1.30 ms per token,   769.50 tokens per second)
28.02.774 I slot print_timing: id  0 | task 3 |        eval time =    9401.70 ms /   507 tokens (   18.54 ms per token,    53.90 tokens per second)
28.02.774 I slot print_timing: id  0 | task 3 | draft acceptance = 0.78936 (  356 accepted /   451 generated)
28.02.774 I slot print_timing: id  0 | task 3 | reasoning effort = medium
28.13.693 I slot print_timing: id  0 | task 4 | prompt eval time =    2977.80 ms /  1871 tokens (    1.59 ms per token,   628.30 tokens per second)  [21504 cached]
28.13.693 I slot print_timing: id  0 | task 4 |        eval time =    7761.10 ms /   409 tokens (   18.98 ms per token,    52.70 tokens per second)
28.13.693 I slot print_timing: id  0 | task 4 | draft acceptance = 0.76819 (  285 accepted /   371 generated)
28.13.693 I slot print_timing: id  0 | task 4 | reasoning effort = medium
28.27.775 I slot print_timing: id  0 | task 5 | prompt eval time =    3464.00 ms /  2258 tokens (    1.53 ms per token,   651.80 tokens per second)  [23296 cached]
28.27.775 I slot print_timing: id  0 | task 5 |        eval time =   10464.50 ms /   568 tokens (   18.42 ms per token,    54.30 tokens per second)
28.27.775 I slot print_timing: id  0 | task 5 | draft acceptance = 0.79365 (  400 accepted /   504 generated)
28.27.775 I slot print_timing: id  0 | task 5 | reasoning effort = medium
37.57.159 I slot print_timing: id  0 | task 6 | prompt eval time =   11393.00 ms /  7364 tokens (    1.55 ms per token,   646.40 tokens per second)  [25344 cached]
37.57.159 I slot print_timing: id  0 | task 6 |        eval time =  557755.00 ms / 26161 tokens (   21.32 ms per token,    46.90 tokens per second)
37.57.159 I slot print_timing: id  0 | task 6 | draft acceptance = 0.69903 (17714 accepted / 25341 generated)
37.57.159 I slot print_timing: id  0 | task 6 | reasoning effort = medium
38.41.459 I slot print_timing: id  0 | task 7 | prompt eval time =   43017.10 ms / 25557 tokens (    1.68 ms per token,   594.10 tokens per second)  [32512 cached]
38.41.459 I slot print_timing: id  0 | task 7 |        eval time =     997.90 ms /    56 tokens (   17.82 ms per token,    56.10 tokens per second)
38.41.459 I slot print_timing: id  0 | task 7 | draft acceptance = 0.93182 (   41 accepted /    44 generated)
38.41.459 I slot print_timing: id  0 | task 7 | reasoning effort = medium
41.29.886 I slot print_timing: id  0 | task 8 | prompt eval time =     942.40 ms /   315 tokens (    2.99 ms per token,   334.30 tokens per second)  [57856 cached]
41.29.886 I slot print_timing: id  0 | task 8 |        eval time =  167231.10 ms /  9680 tokens (   17.28 ms per token,    57.90 tokens per second)
41.29.886 I slot print_timing: id  0 | task 8 | draft acceptance = 0.96958 ( 7203 accepted /  7429 generated)
41.29.886 I slot print_timing: id  0 | task 8 | reasoning effort = medium
41.40.573 I slot print_timing: id  0 | task 9 | prompt eval time =    3857.50 ms /  1882 tokens (    2.05 ms per token,   487.90 tokens per second)  [66048 cached]
41.40.573 I slot print_timing: id  0 | task 9 |        eval time =    6516.70 ms /   293 tokens (   22.24 ms per token,    45.00 tokens per second)
41.40.573 I slot print_timing: id  0 | task 9 | draft acceptance = 0.69474 (  198 accepted /   285 generated)
