89.19.267 I slot print_timing: id  0 | task 119 | prompt eval time =    5824.50 ms /  3700 tokens (    1.57 ms per token,   635.20 tokens per second)  [28672 cached]
89.19.267 I slot print_timing: id  0 | task 119 |        eval time =    4270.90 ms /   261 tokens (   16.36 ms per token,    61.10 tokens per second)
89.19.267 I slot print_timing: id  0 | task 119 | draft acceptance = 0.96020 (  193 accepted /   201 generated)
89.19.267 I slot print_timing: id  0 | task 119 | reasoning effort = medium
89.22.373 I slot print_timing: id  0 | task 120 | prompt eval time =    1095.10 ms /   483 tokens (    2.27 ms per token,   441.00 tokens per second)  [32256 cached]
89.22.373 I slot print_timing: id  0 | task 120 |        eval time =    1749.30 ms /    99 tokens (   17.67 ms per token,    56.60 tokens per second)
89.22.373 I slot print_timing: id  0 | task 120 | draft acceptance = 0.87654 (   71 accepted /    81 generated)
89.22.373 I slot print_timing: id  0 | task 120 | reasoning effort = medium
89.33.401 I slot print_timing: id  0 | task 121 | prompt eval time =    1076.40 ms /   470 tokens (    2.29 ms per token,   436.70 tokens per second)  [32512 cached]
89.33.401 I slot print_timing: id  0 | task 121 |        eval time =    9165.60 ms /   333 tokens (   27.52 ms per token,    36.30 tokens per second)
89.33.401 I slot print_timing: id  0 | task 121 | draft acceptance = 0.43953 (  189 accepted /   430 generated)
89.33.401 I slot print_timing: id  0 | task 121 | reasoning effort = medium
90.01.963 I slot print_timing: id  0 | task 123 | prompt eval time =    1434.10 ms /   935 tokens (    1.53 ms per token,   652.00 tokens per second)
90.01.963 I slot print_timing: id  0 | task 123 |        eval time =   25534.90 ms /  1325 tokens (   19.27 ms per token,    51.90 tokens per second)
90.01.963 I slot print_timing: id  0 | task 123 | draft acceptance = 0.69782 (  896 accepted /  1284 generated)
90.01.963 I slot print_timing: id  0 | task 123 | reasoning effort = xhigh
90.48.103 I slot print_timing: id  0 | task 123 | prompt eval time =   34533.40 ms / 26268 tokens (    1.31 ms per token,   760.70 tokens per second)
90.48.103 I slot print_timing: id  0 | task 123 |        eval time =   11592.80 ms /   590 tokens (   19.65 ms per token,    50.90 tokens per second)
90.48.103 I slot print_timing: id  0 | task 123 | draft acceptance = 0.79502 (  415 accepted /   522 generated)
90.48.103 I slot print_timing: id  0 | task 123 | reasoning effort = medium
