178.50.969 I slot print_timing: id  0 | task 285 | prompt eval time =    2174.50 ms /   943 tokens (    2.31 ms per token,   433.70 tokens per second)  [66816 cached]
178.50.969 I slot print_timing: id  0 | task 285 |        eval time =   59390.80 ms /  2616 tokens (   22.70 ms per token,    44.00 tokens per second)
178.50.969 I slot print_timing: id  0 | task 285 | draft acceptance = 0.70162 ( 1773 accepted /  2527 generated)
178.50.969 I slot print_timing: id  0 | task 285 | reasoning effort = medium
179.19.914 I slot print_timing: id  0 | task 286 | prompt eval time =    6103.60 ms /  2928 tokens (    2.08 ms per token,   479.70 tokens per second)  [67584 cached]
179.19.914 I slot print_timing: id  0 | task 286 |        eval time =   22198.60 ms /  1061 tokens (   20.92 ms per token,    47.80 tokens per second)
179.19.914 I slot print_timing: id  0 | task 286 | draft acceptance = 0.79829 (  748 accepted /   937 generated)
179.19.914 I slot print_timing: id  0 | task 286 | reasoning effort = medium
180.04.794 I slot print_timing: id  0 | task 288 | prompt eval time =    1566.40 ms /  1004 tokens (    1.56 ms per token,   641.00 tokens per second)
180.04.794 I slot print_timing: id  0 | task 288 |        eval time =   24627.70 ms /   989 tokens (   24.90 ms per token,    40.20 tokens per second)
180.04.794 I slot print_timing: id  0 | task 288 | draft acceptance = 0.52431 (  604 accepted /  1152 generated)
180.04.794 I slot print_timing: id  0 | task 288 | reasoning effort = xhigh
180.40.459 I slot print_timing: id  0 | task 288 | prompt eval time =   27769.00 ms / 21300 tokens (    1.30 ms per token,   767.00 tokens per second)
180.40.459 I slot print_timing: id  0 | task 288 |        eval time =    7879.50 ms /   425 tokens (   18.54 ms per token,    53.90 tokens per second)
180.40.459 I slot print_timing: id  0 | task 288 | draft acceptance = 0.88506 (  308 accepted /   348 generated)
180.40.459 I slot print_timing: id  0 | task 288 | reasoning effort = medium
180.47.677 I slot print_timing: id  0 | task 289 | prompt eval time =    1702.90 ms /   964 tokens (    1.77 ms per token,   566.10 tokens per second)  [21248 cached]
180.47.677 I slot print_timing: id  0 | task 289 |        eval time =    4559.10 ms /   270 tokens (   16.89 ms per token,    59.20 tokens per second)
180.47.677 I slot print_timing: id  0 | task 289 | draft acceptance = 0.99020 (  202 accepted /   204 generated)
180.47.677 I slot print_timing: id  0 | task 289 | reasoning effort = medium
181.25.476 I slot print_timing: id  0 | task 290 | prompt eval time =    2701.30 ms /  1620 tokens (    1.67 ms per token,   599.70 tokens per second)  [22016 cached]
181.25.476 I slot print_timing: id  0 | task 290 |        eval time =   34704.90 ms /  1677 tokens (   20.69 ms per token,    48.30 tokens per second)
181.25.476 I slot print_timing: id  0 | task 290 | draft acceptance = 0.78400 ( 1176 accepted /  1500 generated)
181.25.476 I slot print_timing: id  0 | task 290 | reasoning effort = medium
181.34.660 I slot print_timing: id  0 | task 291 | prompt eval time =    2972.70 ms /  1919 tokens (    1.55 ms per token,   645.60 tokens per second)  [23552 cached]
181.34.660 I slot print_timing: id  0 | task 291 |        eval time =    5969.30 ms /   352 tokens (   16.96 ms per token,    59.00 tokens per second)
181.34.660 I slot print_timing: id  0 | task 291 | draft acceptance = 0.92473 (  258 accepted /   279 generated)
181.34.660 I slot print_timing: id  0 | task 291 | reasoning effort = medium
181.38.885 I slot print_timing: id  0 | task 292 | prompt eval time =    1097.40 ms /   561 tokens (    1.96 ms per token,   511.20 tokens per second)  [25344 cached]
181.38.885 I slot print_timing: id  0 | task 292 |        eval time =    2877.70 ms /   174 tokens (   16.54 ms per token,    60.50 tokens per second)
181.38.885 I slot print_timing: id  0 | task 292 | draft acceptance = 0.95556 (  129 accepted /   135 generated)
181.38.885 I slot print_timing: id  0 | task 292 | reasoning effort = medium
181.44.314 I slot print_timing: id  0 | task 293 | prompt eval time =     781.50 ms /   307 tokens (    2.55 ms per token,   392.80 tokens per second)  [25856 cached]
181.44.314 I slot print_timing: id  0 | task 293 |        eval time =    4383.30 ms /   257 tokens (   17.06 ms per token,    58.60 tokens per second)
181.44.314 I slot print_timing: id  0 | task 293 | draft acceptance = 0.90338 (  187 accepted /   207 generated)
181.44.314 I slot print_timing: id  0 | task 293 | reasoning effort = medium
181.49.547 I slot print_timing: id  0 | task 294 | prompt eval time =     952.70 ms /   388 tokens (    2.46 ms per token,   407.20 tokens per second)  [26112 cached]
181.49.547 I slot print_timing: id  0 | task 294 |        eval time =    4042.00 ms /   227 tokens (   17.81 ms per token,    56.20 tokens per second)
181.49.547 I slot print_timing: id  0 | task 294 | draft acceptance = 0.87701 (  164 accepted /   187 generated)
181.49.547 I slot print_timing: id  0 | task 294 | reasoning effort = medium
182.02.374 I slot print_timing: id  0 | task 295 | prompt eval time =     978.10 ms /   442 tokens (    2.21 ms per token,   451.90 tokens per second)  [26368 cached]
182.02.374 I slot print_timing: id  0 | task 295 |        eval time =   11606.50 ms /   695 tokens (   16.70 ms per token,    59.90 tokens per second)
182.02.374 I slot print_timing: id  0 | task 295 | draft acceptance = 0.95185 (  514 accepted /   540 generated)
182.02.374 I slot print_timing: id  0 | task 295 | reasoning effort = medium
182.05.520 I slot print_timing: id  0 | task 296 | prompt eval time =    1765.30 ms /   965 tokens (    1.83 ms per token,   546.60 tokens per second)  [26624 cached]
182.05.520 I slot print_timing: id  0 | task 296 |        eval time =    1129.80 ms /    64 tokens (   17.65 ms per token,    56.60 tokens per second)
182.05.520 I slot print_timing: id  0 | task 296 | draft acceptance = 0.90196 (   46 accepted /    51 generated)
182.05.520 I slot print_timing: id  0 | task 296 | reasoning effort = medium
