184.32.046 I slot print_timing: id  0 | task 303 | prompt eval time =    2021.40 ms /   999 tokens (    2.02 ms per token,   494.20 tokens per second)
184.32.046 I slot print_timing: id  0 | task 303 |        eval time =   43957.10 ms /  1697 tokens (   25.90 ms per token,    38.60 tokens per second)
184.32.046 I slot print_timing: id  0 | task 303 | draft acceptance = 0.51246 ( 1028 accepted /  2006 generated)
184.32.046 I slot print_timing: id  0 | task 303 | reasoning effort = xhigh
185.08.112 I slot print_timing: id  0 | task 303 | prompt eval time =   28451.90 ms / 21541 tokens (    1.32 ms per token,   757.10 tokens per second)
185.08.112 I slot print_timing: id  0 | task 303 |        eval time =    7593.80 ms /   383 tokens (   19.83 ms per token,    50.40 tokens per second)
185.08.112 I slot print_timing: id  0 | task 303 | draft acceptance = 0.79646 (  270 accepted /   339 generated)
185.08.112 I slot print_timing: id  0 | task 303 | reasoning effort = medium
185.14.187 I slot print_timing: id  0 | task 304 | prompt eval time =    2204.60 ms /  1382 tokens (    1.60 ms per token,   626.90 tokens per second)  [21504 cached]
185.14.187 I slot print_timing: id  0 | task 304 |        eval time =    3647.00 ms /   212 tokens (   17.20 ms per token,    58.10 tokens per second)
185.14.187 I slot print_timing: id  0 | task 304 | draft acceptance = 0.87931 (  153 accepted /   174 generated)
185.14.187 I slot print_timing: id  0 | task 304 | reasoning effort = medium
185.19.934 I slot print_timing: id  0 | task 305 | prompt eval time =    3776.30 ms /  2392 tokens (    1.58 ms per token,   633.40 tokens per second)  [22784 cached]
185.19.934 I slot print_timing: id  0 | task 305 |        eval time =    1767.80 ms /   101 tokens (   17.50 ms per token,    57.10 tokens per second)
185.19.934 I slot print_timing: id  0 | task 305 | draft acceptance = 0.86905 (   73 accepted /    84 generated)
185.19.934 I slot print_timing: id  0 | task 305 | reasoning effort = medium
185.26.196 I slot print_timing: id  0 | task 306 | prompt eval time =    1202.50 ms /   613 tokens (    1.96 ms per token,   509.80 tokens per second)  [25088 cached]
185.26.196 I slot print_timing: id  0 | task 306 |        eval time =    4144.90 ms /   264 tokens (   15.70 ms per token,    63.70 tokens per second)
185.26.196 I slot print_timing: id  0 | task 306 | draft acceptance = 0.98995 (  197 accepted /   199 generated)
185.26.196 I slot print_timing: id  0 | task 306 | reasoning effort = medium
186.22.265 I slot print_timing: id  0 | task 307 | prompt eval time =    2528.80 ms /  1604 tokens (    1.58 ms per token,   634.30 tokens per second)  [25600 cached]
186.22.265 I slot print_timing: id  0 | task 307 |        eval time =   53228.90 ms /  2672 tokens (   19.92 ms per token,    50.20 tokens per second)
186.22.265 I slot print_timing: id  0 | task 307 | draft acceptance = 0.73166 ( 1835 accepted /  2508 generated)
186.22.265 I slot print_timing: id  0 | task 307 | reasoning effort = medium
186.42.869 I slot print_timing: id  0 | task 308 | prompt eval time =    4504.40 ms /  2780 tokens (    1.62 ms per token,   617.20 tokens per second)  [27136 cached]
186.42.869 I slot print_timing: id  0 | task 308 |        eval time =   15708.90 ms /   900 tokens (   17.45 ms per token,    57.30 tokens per second)
186.42.869 I slot print_timing: id  0 | task 308 | draft acceptance = 0.88482 (  653 accepted /   738 generated)
186.42.869 I slot print_timing: id  0 | task 308 | reasoning effort = medium
186.51.505 I slot print_timing: id  0 | task 309 | prompt eval time =    2038.20 ms /  1201 tokens (    1.70 ms per token,   589.20 tokens per second)  [29696 cached]
186.51.505 I slot print_timing: id  0 | task 309 |        eval time =    6320.90 ms /   374 tokens (   16.90 ms per token,    59.20 tokens per second)
186.51.505 I slot print_timing: id  0 | task 309 | draft acceptance = 0.92593 (  275 accepted /   297 generated)
186.51.505 I slot print_timing: id  0 | task 309 | reasoning effort = medium
186.56.048 I slot print_timing: id  0 | task 310 | prompt eval time =    1278.80 ms /   632 tokens (    2.02 ms per token,   494.20 tokens per second)  [30720 cached]
186.56.048 I slot print_timing: id  0 | task 310 |        eval time =    2989.00 ms /   173 tokens (   17.28 ms per token,    57.90 tokens per second)
186.56.048 I slot print_timing: id  0 | task 310 | draft acceptance = 0.88028 (  125 accepted /   142 generated)
186.56.048 I slot print_timing: id  0 | task 310 | reasoning effort = medium
187.03.594 I slot print_timing: id  0 | task 311 | prompt eval time =     976.70 ms /   376 tokens (    2.60 ms per token,   385.00 tokens per second)  [31232 cached]
187.03.594 I slot print_timing: id  0 | task 311 |        eval time =    6294.70 ms /   369 tokens (   17.06 ms per token,    58.60 tokens per second)
187.03.594 I slot print_timing: id  0 | task 311 | draft acceptance = 0.90268 (  269 accepted /   298 generated)
187.03.594 I slot print_timing: id  0 | task 311 | reasoning effort = medium
187.43.967 I slot print_timing: id  0 | task 312 | prompt eval time =    1361.40 ms /   653 tokens (    2.08 ms per token,   479.60 tokens per second)  [31488 cached]
187.43.967 I slot print_timing: id  0 | task 312 |        eval time =   38725.20 ms /  2022 tokens (   19.15 ms per token,    52.20 tokens per second)
187.43.967 I slot print_timing: id  0 | task 312 | draft acceptance = 0.79464 ( 1424 accepted /  1792 generated)
187.43.967 I slot print_timing: id  0 | task 312 | reasoning effort = medium
188.01.947 I slot print_timing: id  0 | task 313 | prompt eval time =    3601.30 ms /  2207 tokens (    1.63 ms per token,   612.80 tokens per second)  [32000 cached]
188.01.947 I slot print_timing: id  0 | task 313 |        eval time =   14087.70 ms /   879 tokens (   16.03 ms per token,    62.40 tokens per second)
188.01.947 I slot print_timing: id  0 | task 313 | draft acceptance = 0.98498 (  656 accepted /   666 generated)
188.01.947 I slot print_timing: id  0 | task 313 | reasoning effort = medium
188.10.001 I slot print_timing: id  0 | task 314 | prompt eval time =    1983.90 ms /  1121 tokens (    1.77 ms per token,   565.00 tokens per second)  [34048 cached]
188.10.001 I slot print_timing: id  0 | task 314 |        eval time =    5769.60 ms /   256 tokens (   22.54 ms per token,    44.40 tokens per second)
188.10.001 I slot print_timing: id  0 | task 314 | draft acceptance = 0.62172 (  166 accepted /   267 generated)
188.10.001 I slot print_timing: id  0 | task 314 | reasoning effort = medium
188.15.016 I slot print_timing: id  0 | task 315 | prompt eval time =    1018.80 ms /   415 tokens (    2.45 ms per token,   407.30 tokens per second)  [35072 cached]
188.15.016 I slot print_timing: id  0 | task 315 |        eval time =    3203.70 ms /   182 tokens (   17.60 ms per token,    56.80 tokens per second)
188.15.016 I slot print_timing: id  0 | task 315 | draft acceptance = 0.89189 (  132 accepted /   148 generated)
188.15.016 I slot print_timing: id  0 | task 315 | reasoning effort = medium
188.50.760 I slot print_timing: id  0 | task 316 | prompt eval time =    3019.10 ms /  1758 tokens (    1.72 ms per token,   582.30 tokens per second)  [35328 cached]
188.50.760 I slot print_timing: id  0 | task 316 |        eval time =   32279.60 ms /  1445 tokens (   22.34 ms per token,    44.80 tokens per second)
188.50.760 I slot print_timing: id  0 | task 316 | draft acceptance = 0.64170 (  951 accepted /  1482 generated)
188.50.760 I slot print_timing: id  0 | task 316 | reasoning effort = medium
188.58.773 I slot print_timing: id  0 | task 317 | prompt eval time =    3875.10 ms /  2258 tokens (    1.72 ms per token,   582.70 tokens per second)  [36864 cached]
188.58.773 I slot print_timing: id  0 | task 317 |        eval time =    3593.70 ms /   174 tokens (   20.65 ms per token,    48.40 tokens per second)
188.58.773 I slot print_timing: id  0 | task 317 | draft acceptance = 0.71515 (  118 accepted /   165 generated)
188.58.773 I slot print_timing: id  0 | task 317 | reasoning effort = medium
189.06.497 I slot print_timing: id  0 | task 318 | prompt eval time =    1042.10 ms /   430 tokens (    2.42 ms per token,   412.60 tokens per second)  [38912 cached]
189.06.497 I slot print_timing: id  0 | task 318 |        eval time =    6238.10 ms /   332 tokens (   18.79 ms per token,    53.20 tokens per second)
189.06.497 I slot print_timing: id  0 | task 318 | draft acceptance = 0.82230 (  236 accepted /   287 generated)
189.06.497 I slot print_timing: id  0 | task 318 | reasoning effort = medium
189.26.297 I slot print_timing: id  0 | task 319 | prompt eval time =    1598.20 ms /   673 tokens (    2.37 ms per token,   421.10 tokens per second)  [39168 cached]
189.26.297 I slot print_timing: id  0 | task 319 |        eval time =   16635.70 ms /   854 tokens (   19.48 ms per token,    51.30 tokens per second)
189.26.297 I slot print_timing: id  0 | task 319 | draft acceptance = 0.79497 (  601 accepted /   756 generated)
189.26.297 I slot print_timing: id  0 | task 319 | reasoning effort = medium
189.43.871 I slot print_timing: id  0 | task 320 | prompt eval time =    2324.10 ms /  1267 tokens (    1.83 ms per token,   545.20 tokens per second)  [39680 cached]
189.43.871 I slot print_timing: id  0 | task 320 |        eval time =   14774.80 ms /   800 tokens (   18.47 ms per token,    54.10 tokens per second)
189.43.871 I slot print_timing: id  0 | task 320 | draft acceptance = 0.87330 (  579 accepted /   663 generated)
189.43.871 I slot print_timing: id  0 | task 320 | reasoning effort = medium
190.12.705 I slot print_timing: id  0 | task 322 | prompt eval time =    1500.10 ms /   992 tokens (    1.51 ms per token,   661.30 tokens per second)
190.12.705 I slot print_timing: id  0 | task 322 |        eval time =   24924.90 ms /  1037 tokens (   24.04 ms per token,    41.60 tokens per second)
190.12.705 I slot print_timing: id  0 | task 322 | draft acceptance = 0.51223 (  628 accepted /  1226 generated)
190.12.705 I slot print_timing: id  0 | task 322 | reasoning effort = xhigh
190.47.133 I slot print_timing: id  0 | task 322 | prompt eval time =   27567.50 ms / 21178 tokens (    1.30 ms per token,   768.20 tokens per second)
190.47.133 I slot print_timing: id  0 | task 322 |        eval time =    6843.90 ms /   386 tokens (   17.73 ms per token,    56.40 tokens per second)
190.47.133 I slot print_timing: id  0 | task 322 | draft acceptance = 0.85802 (  278 accepted /   324 generated)
190.47.133 I slot print_timing: id  0 | task 322 | reasoning effort = medium
