0.57.243 I slot print_timing: id  0 | task 2 | prompt eval time =    3294.00 ms /   835 tokens (    3.94 ms per token,   253.50 tokens per second)
0.57.243 I slot print_timing: id  0 | task 2 |        eval time =   12924.30 ms /   648 tokens (   19.94 ms per token,    50.10 tokens per second)
0.57.243 I slot print_timing: id  0 | task 2 | draft acceptance = 0.70740 (  440 accepted /   622 generated)
0.57.243 I slot print_timing: id  0 | task 2 | reasoning effort = xhigh
4.58.929 I slot print_timing: id  0 | task 2 | prompt eval time =   35081.60 ms / 26557 tokens (    1.32 ms per token,   757.00 tokens per second)
4.58.929 I slot print_timing: id  0 | task 2 |        eval time =  206586.80 ms / 10915 tokens (   18.93 ms per token,    52.80 tokens per second)
4.58.929 I slot print_timing: id  0 | task 2 | draft acceptance = 0.80346 ( 7714 accepted /  9601 generated)
4.58.929 I slot print_timing: id  0 | task 2 | reasoning effort = medium
5.30.004 I slot print_timing: id  0 | task 3 | prompt eval time =   17596.10 ms / 11198 tokens (    1.57 ms per token,   636.40 tokens per second)  [26368 cached]
5.30.004 I slot print_timing: id  0 | task 3 |        eval time =   13094.60 ms /   490 tokens (   26.72 ms per token,    37.40 tokens per second)
5.30.004 I slot print_timing: id  0 | task 3 | draft acceptance = 0.52456 (  299 accepted /   570 generated)
5.30.004 I slot print_timing: id  0 | task 3 | reasoning effort = medium
7.12.193 I slot print_timing: id  0 | task 5 | prompt eval time =     402.70 ms /    77 tokens (    5.23 ms per token,   191.20 tokens per second)  [768 cached]
7.12.193 I slot print_timing: id  0 | task 5 |        eval time =   17957.30 ms /   819 tokens (   21.93 ms per token,    45.60 tokens per second)
7.12.193 I slot print_timing: id  0 | task 5 | draft acceptance = 0.67199 (  547 accepted /   814 generated)
7.12.193 I slot print_timing: id  0 | task 5 | reasoning effort = xhigh
8.23.455 I slot print_timing: id  0 | task 5 | prompt eval time =   35703.70 ms / 26659 tokens (    1.34 ms per token,   746.70 tokens per second)
8.23.455 I slot print_timing: id  0 | task 5 |        eval time =   35537.80 ms /  1427 tokens (   24.90 ms per token,    40.20 tokens per second)
8.23.455 I slot print_timing: id  0 | task 5 | draft acceptance = 0.64787 (  942 accepted /  1454 generated)
8.23.455 I slot print_timing: id  0 | task 5 | reasoning effort = medium
11.24.404 I slot print_timing: id  0 | task 6 | prompt eval time =    5545.90 ms /  3458 tokens (    1.60 ms per token,   623.50 tokens per second)  [26624 cached]
11.24.404 I slot print_timing: id  0 | task 6 |        eval time =  174374.00 ms /  7333 tokens (   23.78 ms per token,    42.10 tokens per second)
11.24.404 I slot print_timing: id  0 | task 6 | draft acceptance = 0.60594 ( 4730 accepted /  7806 generated)
11.24.404 I slot print_timing: id  0 | task 6 | reasoning effort = medium
11.45.641 I slot print_timing: id  0 | task 7 | prompt eval time =   12587.60 ms /  7840 tokens (    1.61 ms per token,   622.80 tokens per second)  [29952 cached]
11.45.641 I slot print_timing: id  0 | task 7 |        eval time =    5710.70 ms /   311 tokens (   18.36 ms per token,    54.50 tokens per second)
11.45.641 I slot print_timing: id  0 | task 7 | draft acceptance = 0.88235 (  225 accepted /   255 generated)
11.45.641 I slot print_timing: id  0 | task 7 | reasoning effort = medium
12.21.001 I slot print_timing: id  0 | task 8 | prompt eval time =    3871.10 ms /  2067 tokens (    1.87 ms per token,   534.00 tokens per second)  [37632 cached]
12.21.001 I slot print_timing: id  0 | task 8 |        eval time =   31153.50 ms /  1320 tokens (   23.60 ms per token,    42.40 tokens per second)
12.21.001 I slot print_timing: id  0 | task 8 | draft acceptance = 0.63938 (  867 accepted /  1356 generated)
12.21.001 I slot print_timing: id  0 | task 8 | reasoning effort = medium
17.16.835 I slot print_timing: id  0 | task 9 | prompt eval time =    2956.80 ms /  1643 tokens (    1.80 ms per token,   555.70 tokens per second)  [39680 cached]
17.16.835 I slot print_timing: id  0 | task 9 |        eval time =  292500.40 ms / 12545 tokens (   23.32 ms per token,    42.90 tokens per second)
17.16.835 I slot print_timing: id  0 | task 9 | draft acceptance = 0.63794 ( 8239 accepted / 12915 generated)
17.16.835 I slot print_timing: id  0 | task 9 | reasoning effort = medium
17.42.448 I slot print_timing: id  0 | task 10 | prompt eval time =   22992.70 ms / 13318 tokens (    1.73 ms per token,   579.20 tokens per second)  [41216 cached]
17.42.448 I slot print_timing: id  0 | task 10 |        eval time =    2232.30 ms /   118 tokens (   18.92 ms per token,    52.90 tokens per second)
17.42.448 I slot print_timing: id  0 | task 10 | draft acceptance = 0.86735 (   85 accepted /    98 generated)
17.42.448 I slot print_timing: id  0 | task 10 | reasoning effort = medium
20.31.740 I slot print_timing: id  0 | task 11 | prompt eval time =     512.80 ms /   169 tokens (    3.03 ms per token,   329.50 tokens per second)  [54528 cached]
20.31.740 I slot print_timing: id  0 | task 11 |        eval time =  168420.00 ms /  9310 tokens (   18.09 ms per token,    55.30 tokens per second)
20.31.740 I slot print_timing: id  0 | task 11 | draft acceptance = 0.91423 ( 6822 accepted /  7462 generated)
20.31.740 I slot print_timing: id  0 | task 11 | reasoning effort = medium
21.13.166 I slot print_timing: id  0 | task 12 | prompt eval time =   18694.70 ms / 10003 tokens (    1.87 ms per token,   535.10 tokens per second)  [54528 cached]
21.13.166 I slot print_timing: id  0 | task 12 |        eval time =   22287.60 ms /  1192 tokens (   18.70 ms per token,    53.50 tokens per second)
21.13.166 I slot print_timing: id  0 | task 12 | draft acceptance = 0.89680 (  869 accepted /   969 generated)
21.13.166 I slot print_timing: id  0 | task 12 | reasoning effort = medium
21.25.662 I slot print_timing: id  0 | task 13 | prompt eval time =    2932.00 ms /  1388 tokens (    2.11 ms per token,   473.40 tokens per second)  [64512 cached]
21.25.662 I slot print_timing: id  0 | task 13 |        eval time =    8397.70 ms /   447 tokens (   18.79 ms per token,    53.20 tokens per second)
21.25.662 I slot print_timing: id  0 | task 13 | draft acceptance = 0.89807 (  326 accepted /   363 generated)
21.25.662 I slot print_timing: id  0 | task 13 | reasoning effort = medium
22.14.796 I slot print_timing: id  0 | task 14 | prompt eval time =    1810.00 ms /   667 tokens (    2.71 ms per token,   368.50 tokens per second)  [65792 cached]
22.14.796 I slot print_timing: id  0 | task 14 |        eval time =   19141.30 ms /   897 tokens (   21.34 ms per token,    46.90 tokens per second)
22.14.796 I slot print_timing: id  0 | task 14 | draft acceptance = 0.76593 (  625 accepted /   816 generated)
22.14.796 I slot print_timing: id  0 | task 14 | reasoning effort = medium
22.46.980 I slot print_timing: id  0 | task 15 | prompt eval time =    2688.30 ms /  1205 tokens (    2.23 ms per token,   448.20 tokens per second)  [66304 cached]
22.46.980 I slot print_timing: id  0 | task 15 |        eval time =    1737.20 ms /    90 tokens (   19.30 ms per token,    51.80 tokens per second)
22.46.980 I slot print_timing: id  0 | task 15 | draft acceptance = 0.90278 (   65 accepted /    72 generated)
22.46.980 I slot print_timing: id  0 | task 15 | reasoning effort = medium
22.55.202 I slot print_timing: id  0 | task 16 | prompt eval time =    1400.80 ms /   488 tokens (    2.87 ms per token,   348.40 tokens per second)  [67328 cached]
22.55.202 I slot print_timing: id  0 | task 16 |        eval time =    6065.10 ms /   265 tokens (   22.89 ms per token,    43.70 tokens per second)
22.55.202 I slot print_timing: id  0 | task 16 | draft acceptance = 0.68726 (  178 accepted /   259 generated)
22.55.202 I slot print_timing: id  0 | task 16 | reasoning effort = medium
23.01.097 I slot print_timing: id  0 | task 17 | prompt eval time =    1324.90 ms /   542 tokens (    2.44 ms per token,   409.10 tokens per second)  [67584 cached]
