0.58.242 I slot print_timing: id  0 | task 2 | prompt eval time =    2872.60 ms /   844 tokens (    3.40 ms per token,   293.80 tokens per second)
0.58.242 I slot print_timing: id  0 | task 2 |        eval time =   13980.40 ms /   657 tokens (   21.28 ms per token,    47.00 tokens per second)
0.58.242 I slot print_timing: id  0 | task 2 | draft acceptance = 0.66972 (  438 accepted /   654 generated)
0.58.242 I slot print_timing: id  0 | task 2 | reasoning effort = xhigh
1.38.042 I slot print_timing: id  0 | task 2 | prompt eval time =   36098.90 ms / 27072 tokens (    1.33 ms per token,   749.90 tokens per second)
1.38.042 I slot print_timing: id  0 | task 2 |        eval time =    3685.90 ms /   193 tokens (   19.10 ms per token,    52.40 tokens per second)
1.38.042 I slot print_timing: id  0 | task 2 | draft acceptance = 0.80473 (  136 accepted /   169 generated)
1.38.042 I slot print_timing: id  0 | task 2 | reasoning effort = medium
1.47.688 I slot print_timing: id  0 | task 3 | prompt eval time =    3369.70 ms /  2158 tokens (    1.56 ms per token,   640.40 tokens per second)  [26880 cached]
1.47.688 I slot print_timing: id  0 | task 3 |        eval time =    5992.20 ms /   320 tokens (   18.73 ms per token,    53.40 tokens per second)
1.47.688 I slot print_timing: id  0 | task 3 | draft acceptance = 0.82909 (  228 accepted /   275 generated)
1.47.688 I slot print_timing: id  0 | task 3 | reasoning effort = medium
1.50.945 I slot print_timing: id  0 | task 4 | prompt eval time =    1126.20 ms /   571 tokens (    1.97 ms per token,   507.00 tokens per second)  [28928 cached]
1.50.945 I slot print_timing: id  0 | task 4 |        eval time =    1830.50 ms /   102 tokens (   17.95 ms per token,    55.70 tokens per second)
1.50.945 I slot print_timing: id  0 | task 4 | draft acceptance = 0.89157 (   74 accepted /    83 generated)
1.50.945 I slot print_timing: id  0 | task 4 | reasoning effort = medium
1.56.426 I slot print_timing: id  0 | task 5 | prompt eval time =     985.30 ms /   436 tokens (    2.26 ms per token,   442.50 tokens per second)  [29440 cached]
1.56.426 I slot print_timing: id  0 | task 5 |        eval time =    3610.50 ms /   207 tokens (   17.44 ms per token,    57.30 tokens per second)
1.56.426 I slot print_timing: id  0 | task 5 | draft acceptance = 0.89881 (  151 accepted /   168 generated)
1.56.426 I slot print_timing: id  0 | task 5 | reasoning effort = medium
6.53.961 I slot print_timing: id  0 | task 6 | prompt eval time =   13756.20 ms /  8602 tokens (    1.60 ms per token,   625.30 tokens per second)  [29696 cached]
6.53.961 I slot print_timing: id  0 | task 6 |        eval time =  283439.90 ms / 14053 tokens (   20.17 ms per token,    49.60 tokens per second)
6.53.961 I slot print_timing: id  0 | task 6 | draft acceptance = 0.74811 ( 9721 accepted / 12994 generated)
6.53.961 I slot print_timing: id  0 | task 6 | reasoning effort = medium
