1.09.796 I slot print_timing: id  0 | task 3 | prompt eval time =    4518.70 ms /   835 tokens (    5.41 ms per token,   184.80 tokens per second)
1.09.796 I slot print_timing: id  0 | task 3 |        eval time =   10545.90 ms /   489 tokens (   21.57 ms per token,    46.40 tokens per second)
1.09.796 I slot print_timing: id  0 | task 3 | draft acceptance = 0.66191 (  325 accepted /   491 generated)
1.09.796 I slot print_timing: id  0 | task 3 | reasoning effort = xhigh
5.00.098 I slot print_timing: id  0 | task 3 | prompt eval time =   35259.70 ms / 26557 tokens (    1.33 ms per token,   753.20 tokens per second)
5.00.098 I slot print_timing: id  0 | task 3 |        eval time =  195023.10 ms / 10964 tokens (   17.79 ms per token,    56.20 tokens per second)
5.00.098 I slot print_timing: id  0 | task 3 | draft acceptance = 0.83177 ( 7827 accepted /  9410 generated)
5.00.098 I slot print_timing: id  0 | task 3 | reasoning effort = medium
6.07.257 I slot print_timing: id  0 | task 4 | prompt eval time =   48875.80 ms / 35659 tokens (    1.37 ms per token,   729.60 tokens per second)
6.07.257 I slot print_timing: id  0 | task 4 |        eval time =   18265.40 ms /   842 tokens (   21.69 ms per token,    46.10 tokens per second)
6.07.257 I slot print_timing: id  0 | task 4 | draft acceptance = 0.64610 (  555 accepted /   859 generated)
6.07.257 I slot print_timing: id  0 | task 4 | reasoning effort = medium
6.41.410 I slot print_timing: id  0 | task 5 | prompt eval time =   17658.90 ms / 11268 tokens (    1.57 ms per token,   638.10 tokens per second)  [26368 cached]
6.41.410 I slot print_timing: id  0 | task 5 |        eval time =   16439.80 ms /   629 tokens (   26.14 ms per token,    38.30 tokens per second)
6.41.410 I slot print_timing: id  0 | task 5 | draft acceptance = 0.49868 (  377 accepted /   756 generated)
6.41.410 I slot print_timing: id  0 | task 5 | reasoning effort = medium
6.44.380 I slot print_timing: id  0 | task 5 | prompt eval time =    2009.90 ms /  1068 tokens (    1.88 ms per token,   531.40 tokens per second)  [35584 cached]
6.44.380 I slot print_timing: id  0 | task 5 |        eval time =     887.80 ms /    49 tokens (   18.12 ms per token,    55.20 tokens per second)
6.44.380 I slot print_timing: id  0 | task 5 | draft acceptance = 1.00000 (   36 accepted /    36 generated)
6.44.380 I slot print_timing: id  0 | task 5 | reasoning effort = medium
6.47.292 I slot print_timing: id  0 | task 6 | prompt eval time =     432.90 ms /   139 tokens (    3.11 ms per token,   321.10 tokens per second)  [36608 cached]
6.47.292 I slot print_timing: id  0 | task 6 |        eval time =    2171.20 ms /    83 tokens (   26.16 ms per token,    38.20 tokens per second)
6.47.292 I slot print_timing: id  0 | task 6 | draft acceptance = 0.57778 (   52 accepted /    90 generated)
6.47.292 I slot print_timing: id  0 | task 6 | reasoning effort = medium
