1.25.974 I slot print_timing: id  0 | task 1 | prompt eval time =   50289.10 ms / 36603 tokens (    1.37 ms per token,   727.90 tokens per second)
1.25.974 I slot print_timing: id  0 | task 1 |        eval time =    8407.40 ms /   462 tokens (   18.20 ms per token,    55.00 tokens per second)
1.25.974 I slot print_timing: id  0 | task 1 | draft acceptance = 0.75887 (  321 accepted /   423 generated)
1.25.974 I slot print_timing: id  0 | task 1 | reasoning effort = medium
1.42.876 I slot print_timing: id  0 | task 2 | prompt eval time =    4258.70 ms /  2462 tokens (    1.73 ms per token,   578.10 tokens per second)  [36352 cached]
1.42.876 I slot print_timing: id  0 | task 2 |        eval time =   11925.40 ms /   626 tokens (   19.05 ms per token,    52.50 tokens per second)
1.42.876 I slot print_timing: id  0 | task 2 | draft acceptance = 0.68455 (  421 accepted /   615 generated)
1.42.876 I slot print_timing: id  0 | task 2 | reasoning effort = medium
8.40.630 I slot print_timing: id  0 | task 3 | prompt eval time =   12296.50 ms /  7335 tokens (    1.68 ms per token,   596.50 tokens per second)  [38656 cached]
8.40.630 I slot print_timing: id  0 | task 3 |        eval time =  404715.00 ms / 21017 tokens (   19.26 ms per token,    51.90 tokens per second)
8.40.630 I slot print_timing: id  0 | task 3 | draft acceptance = 0.72165 (14376 accepted / 19921 generated)
8.40.630 I slot print_timing: id  0 | task 3 | reasoning effort = medium
9.23.565 I slot print_timing: id  0 | task 4 | prompt eval time =   38658.30 ms / 21188 tokens (    1.82 ms per token,   548.10 tokens per second)  [45824 cached]
9.23.565 I slot print_timing: id  0 | task 4 |        eval time =    3668.20 ms /   173 tokens (   21.20 ms per token,    47.20 tokens per second)
9.23.565 I slot print_timing: id  0 | task 4 | draft acceptance = 0.66860 (  115 accepted /   172 generated)
9.23.565 I slot print_timing: id  0 | task 4 | reasoning effort = medium
20.59.668 I slot print_timing: id  0 | task 5 | prompt eval time =    4503.80 ms /  2187 tokens (    2.06 ms per token,   485.60 tokens per second)  [66816 cached]
20.59.668 I slot print_timing: id  0 | task 5 |        eval time =  691065.20 ms / 33333 tokens (   20.73 ms per token,    48.20 tokens per second)
20.59.668 I slot print_timing: id  0 | task 5 | draft acceptance = 0.72893 (22873 accepted / 31379 generated)
20.59.668 I slot print_timing: id  0 | task 5 | reasoning effort = medium
22.44.486 I slot print_timing: id  0 | task 6 | prompt eval time =   75581.70 ms / 34975 tokens (    2.16 ms per token,   462.70 tokens per second)  [68864 cached]
22.44.486 I slot print_timing: id  0 | task 6 |        eval time =   28473.80 ms /  1436 tokens (   19.83 ms per token,    50.40 tokens per second)
22.44.486 I slot print_timing: id  0 | task 6 | draft acceptance = 0.83333 ( 1025 accepted /  1230 generated)
22.44.486 I slot print_timing: id  0 | task 6 | reasoning effort = medium
23.27.698 I slot print_timing: id  0 | task 7 | prompt eval time =    5248.00 ms /  2099 tokens (    2.50 ms per token,   400.00 tokens per second)  [103680 cached]
23.27.698 I slot print_timing: id  0 | task 7 |        eval time =   23360.40 ms /  1059 tokens (   22.06 ms per token,    45.30 tokens per second)
23.27.698 I slot print_timing: id  0 | task 7 | draft acceptance = 0.71414 (  722 accepted /  1011 generated)
23.27.698 I slot print_timing: id  0 | task 7 | reasoning effort = medium
25.11.388 I slot print_timing: id  0 | task 8 | prompt eval time =    3419.60 ms /  1227 tokens (    2.79 ms per token,   358.80 tokens per second)  [105728 cached]
25.11.388 I slot print_timing: id  0 | task 8 |        eval time =   92440.10 ms /  3805 tokens (   24.29 ms per token,    41.20 tokens per second)
25.11.388 I slot print_timing: id  0 | task 8 | draft acceptance = 0.62655 ( 2483 accepted /  3963 generated)
25.11.388 I slot print_timing: id  0 | task 8 | reasoning effort = medium
25.26.015 I slot print_timing: id  0 | task 9 | prompt eval time =   10248.60 ms /  4150 tokens (    2.47 ms per token,   404.90 tokens per second)  [106752 cached]
25.26.015 I slot print_timing: id  0 | task 9 |        eval time =    3674.40 ms /   171 tokens (   21.49 ms per token,    46.50 tokens per second)
25.26.015 I slot print_timing: id  0 | task 9 | draft acceptance = 0.77273 (  119 accepted /   154 generated)
25.26.015 I slot print_timing: id  0 | task 9 | reasoning effort = medium
25.38.853 I slot print_timing: id  0 | task 10 | prompt eval time =    1432.10 ms /   419 tokens (    3.42 ms per token,   292.60 tokens per second)  [110848 cached]
25.38.853 I slot print_timing: id  0 | task 10 |        eval time =    9869.30 ms /   438 tokens (   22.53 ms per token,    44.40 tokens per second)
25.38.853 I slot print_timing: id  0 | task 10 | draft acceptance = 0.71122 (  298 accepted /   419 generated)
25.38.853 I slot print_timing: id  0 | task 10 | reasoning effort = medium
26.37.608 I slot print_timing: id  0 | task 11 | prompt eval time =    2066.00 ms /   670 tokens (    3.08 ms per token,   324.30 tokens per second)  [111104 cached]
26.37.608 I slot print_timing: id  0 | task 11 |        eval time =   55625.70 ms /  2281 tokens (   24.39 ms per token,    41.00 tokens per second)
26.37.608 I slot print_timing: id  0 | task 11 | draft acceptance = 0.63113 ( 1492 accepted /  2364 generated)
26.37.608 I slot print_timing: id  0 | task 11 | reasoning effort = medium
