46.54.746 I slot print_timing: id  0 | task 41 | prompt eval time =    2806.70 ms /  1182 tokens (    2.37 ms per token,   421.10 tokens per second)  [70400 cached]
46.54.746 I slot print_timing: id  0 | task 41 |        eval time =    2497.20 ms /   143 tokens (   17.46 ms per token,    57.30 tokens per second)
46.54.746 I slot print_timing: id  0 | task 41 | draft acceptance = 0.99074 (  107 accepted /   108 generated)
46.54.746 I slot print_timing: id  0 | task 41 | reasoning effort = medium
47.10.808 I slot print_timing: id  0 | task 42 | prompt eval time =    1056.90 ms /   353 tokens (    2.99 ms per token,   334.00 tokens per second)  [71424 cached]
47.10.808 I slot print_timing: id  0 | task 42 |        eval time =   14488.60 ms /   594 tokens (   24.39 ms per token,    41.00 tokens per second)
47.10.808 I slot print_timing: id  0 | task 42 | draft acceptance = 0.61859 (  386 accepted /   624 generated)
47.10.808 I slot print_timing: id  0 | task 42 | reasoning effort = medium
47.33.759 I slot print_timing: id  0 | task 43 | prompt eval time =    2192.10 ms /   788 tokens (    2.78 ms per token,   359.50 tokens per second)  [71680 cached]
47.33.759 I slot print_timing: id  0 | task 43 |        eval time =   20181.70 ms /   860 tokens (   23.47 ms per token,    42.60 tokens per second)
47.33.759 I slot print_timing: id  0 | task 43 | draft acceptance = 0.65668 (  570 accepted /   868 generated)
47.33.759 I slot print_timing: id  0 | task 43 | reasoning effort = medium
48.02.454 I slot print_timing: id  0 | task 44 | prompt eval time =    2296.00 ms /  1036 tokens (    2.22 ms per token,   451.20 tokens per second)  [72448 cached]
48.02.454 I slot print_timing: id  0 | task 44 |        eval time =   25760.10 ms /   946 tokens (   27.23 ms per token,    36.70 tokens per second)
48.02.454 I slot print_timing: id  0 | task 44 | draft acceptance = 0.52968 (  580 accepted /  1095 generated)
48.02.454 I slot print_timing: id  0 | task 44 | reasoning effort = medium
48.48.860 I slot print_timing: id  0 | task 46 | prompt eval time =    1483.90 ms /   844 tokens (    1.76 ms per token,   568.80 tokens per second)
48.48.860 I slot print_timing: id  0 | task 46 |        eval time =    8818.00 ms /   418 tokens (   21.10 ms per token,    47.40 tokens per second)
48.48.860 I slot print_timing: id  0 | task 46 | draft acceptance = 0.58940 (  267 accepted /   453 generated)
48.48.860 I slot print_timing: id  0 | task 46 | reasoning effort = xhigh
49.28.749 I slot print_timing: id  0 | task 46 | prompt eval time =   35976.20 ms / 27072 tokens (    1.33 ms per token,   752.50 tokens per second)
49.28.749 I slot print_timing: id  0 | task 46 |        eval time =    3894.50 ms /   213 tokens (   18.28 ms per token,    54.70 tokens per second)
49.28.749 I slot print_timing: id  0 | task 46 | draft acceptance = 0.79365 (  150 accepted /   189 generated)
49.28.749 I slot print_timing: id  0 | task 46 | reasoning effort = medium
49.36.406 I slot print_timing: id  0 | task 47 | prompt eval time =    3485.60 ms /  2196 tokens (    1.59 ms per token,   630.00 tokens per second)  [26880 cached]
49.36.406 I slot print_timing: id  0 | task 47 |        eval time =    3867.00 ms /   194 tokens (   19.93 ms per token,    50.20 tokens per second)
49.36.406 I slot print_timing: id  0 | task 47 | draft acceptance = 0.71351 (  132 accepted /   185 generated)
49.36.406 I slot print_timing: id  0 | task 47 | reasoning effort = medium
54.37.197 I slot print_timing: id  0 | task 48 | prompt eval time =   10920.70 ms /  6931 tokens (    1.58 ms per token,   634.70 tokens per second)  [28928 cached]
54.37.197 I slot print_timing: id  0 | task 48 |        eval time =  289580.90 ms / 14447 tokens (   20.04 ms per token,    49.90 tokens per second)
54.37.197 I slot print_timing: id  0 | task 48 | draft acceptance = 0.76469 (10061 accepted / 13157 generated)
54.37.197 I slot print_timing: id  0 | task 48 | reasoning effort = medium
55.12.857 I slot print_timing: id  0 | task 49 | prompt eval time =   24499.10 ms / 14538 tokens (    1.69 ms per token,   593.40 tokens per second)  [35840 cached]
55.12.857 I slot print_timing: id  0 | task 49 |        eval time =   10764.40 ms /   447 tokens (   24.08 ms per token,    41.50 tokens per second)
55.12.857 I slot print_timing: id  0 | task 49 | draft acceptance = 0.62581 (  291 accepted /   465 generated)
55.12.857 I slot print_timing: id  0 | task 49 | reasoning effort = medium
55.44.873 I slot print_timing: id  0 | task 50 | prompt eval time =    7838.10 ms /   783 tokens (   10.01 ms per token,    99.90 tokens per second)  [50176 cached]
55.44.873 I slot print_timing: id  0 | task 50 |        eval time =   22956.20 ms /   754 tokens (   30.45 ms per token,    32.80 tokens per second)
55.44.873 I slot print_timing: id  0 | task 50 | draft acceptance = 0.45104 (  433 accepted /   960 generated)
55.44.873 I slot print_timing: id  0 | task 50 | reasoning effort = medium
56.27.279 I slot print_timing: id  0 | task 52 | prompt eval time =    1534.20 ms /   854 tokens (    1.80 ms per token,   556.60 tokens per second)
56.27.279 I slot print_timing: id  0 | task 52 |        eval time =    6953.90 ms /   316 tokens (   22.01 ms per token,    45.40 tokens per second)
56.27.279 I slot print_timing: id  0 | task 52 | draft acceptance = 0.60896 (  204 accepted /   335 generated)
56.27.279 I slot print_timing: id  0 | task 52 | reasoning effort = xhigh
57.10.118 I slot print_timing: id  0 | task 52 | prompt eval time =   36015.50 ms / 27128 tokens (    1.33 ms per token,   753.20 tokens per second)
57.10.118 I slot print_timing: id  0 | task 52 |        eval time =    6806.10 ms /   332 tokens (   20.50 ms per token,    48.80 tokens per second)
57.10.118 I slot print_timing: id  0 | task 52 | draft acceptance = 0.71069 (  226 accepted /   318 generated)
57.10.118 I slot print_timing: id  0 | task 52 | reasoning effort = medium
57.29.790 I slot print_timing: id  0 | task 53 | prompt eval time =    3804.10 ms /  2366 tokens (    1.61 ms per token,   622.00 tokens per second)  [26880 cached]
57.29.790 I slot print_timing: id  0 | task 53 |        eval time =   15603.30 ms /   759 tokens (   20.56 ms per token,    48.60 tokens per second)
57.29.790 I slot print_timing: id  0 | task 53 | draft acceptance = 0.72626 (  520 accepted /   716 generated)
57.29.790 I slot print_timing: id  0 | task 53 | reasoning effort = medium
57.35.536 I slot print_timing: id  0 | task 54 | prompt eval time =    2048.60 ms /  1160 tokens (    1.77 ms per token,   566.20 tokens per second)  [29184 cached]
57.35.536 I slot print_timing: id  0 | task 54 |        eval time =    3360.00 ms /   205 tokens (   16.39 ms per token,    61.00 tokens per second)
57.35.536 I slot print_timing: id  0 | task 54 | draft acceptance = 1.00000 (  153 accepted /   153 generated)
57.35.536 I slot print_timing: id  0 | task 54 | reasoning effort = medium
66.52.519 I slot print_timing: id  0 | task 55 | prompt eval time =   18072.60 ms / 10629 tokens (    1.70 ms per token,   588.10 tokens per second)  [30208 cached]
66.52.519 I slot print_timing: id  0 | task 55 |        eval time =  538585.20 ms / 22842 tokens (   23.58 ms per token,    42.40 tokens per second)
66.52.519 I slot print_timing: id  0 | task 55 | draft acceptance = 0.61925 (14849 accepted / 23979 generated)
66.52.519 I slot print_timing: id  0 | task 55 | reasoning effort = medium
70.22.727 I slot print_timing: id  0 | task 56 | prompt eval time =   42486.60 ms / 23894 tokens (    1.78 ms per token,   562.40 tokens per second)  [40704 cached]
70.22.727 I slot print_timing: id  0 | task 56 |        eval time =  166570.00 ms /  9026 tokens (   18.45 ms per token,    54.20 tokens per second)
70.22.727 I slot print_timing: id  0 | task 56 | draft acceptance = 0.91715 ( 6620 accepted /  7218 generated)
70.22.727 I slot print_timing: id  0 | task 56 | reasoning effort = medium
70.51.387 I slot print_timing: id  0 | task 57 | prompt eval time =   19418.30 ms /  9788 tokens (    1.98 ms per token,   504.10 tokens per second)  [64512 cached]
70.51.387 I slot print_timing: id  0 | task 57 |        eval time =    8731.70 ms /   413 tokens (   21.14 ms per token,    47.30 tokens per second)
70.51.387 I slot print_timing: id  0 | task 57 | draft acceptance = 0.78320 (  289 accepted /   369 generated)
70.51.387 I slot print_timing: id  0 | task 57 | reasoning effort = medium
71.09.318 I slot print_timing: id  0 | task 58 | prompt eval time =    1440.10 ms /   572 tokens (    2.52 ms per token,   397.20 tokens per second)  [74240 cached]
71.09.318 I slot print_timing: id  0 | task 58 |        eval time =   15491.30 ms /   806 tokens (   19.22 ms per token,    52.00 tokens per second)
71.09.318 I slot print_timing: id  0 | task 58 | draft acceptance = 0.89058 (  586 accepted /   658 generated)
71.09.318 I slot print_timing: id  0 | task 58 | reasoning effort = medium
71.20.185 I slot print_timing: id  0 | task 59 | prompt eval time =    2377.50 ms /  1059 tokens (    2.25 ms per token,   445.40 tokens per second)  [74752 cached]
71.20.185 I slot print_timing: id  0 | task 59 |        eval time =    7562.20 ms /   381 tokens (   19.85 ms per token,    50.40 tokens per second)
71.20.185 I slot print_timing: id  0 | task 59 | draft acceptance = 0.84783 (  273 accepted /   322 generated)
71.20.185 I slot print_timing: id  0 | task 59 | reasoning effort = medium
71.43.783 I slot print_timing: id  0 | task 60 | prompt eval time =    1432.30 ms /   547 tokens (    2.62 ms per token,   381.90 tokens per second)  [75776 cached]
71.43.783 I slot print_timing: id  0 | task 60 |        eval time =   15008.20 ms /   711 tokens (   21.11 ms per token,    47.40 tokens per second)
71.43.783 I slot print_timing: id  0 | task 60 | draft acceptance = 0.77535 (  497 accepted /   641 generated)
71.43.783 I slot print_timing: id  0 | task 60 | reasoning effort = medium
