122.59.722 I slot print_timing: id  0 | task 187 | prompt eval time =    2314.80 ms /  1463 tokens (    1.58 ms per token,   632.00 tokens per second)  [22016 cached]
122.59.722 I slot print_timing: id  0 | task 187 |        eval time =   29310.30 ms /  1386 tokens (   21.15 ms per token,    47.30 tokens per second)
122.59.722 I slot print_timing: id  0 | task 187 | draft acceptance = 0.69032 (  934 accepted /  1353 generated)
122.59.722 I slot print_timing: id  0 | task 187 | reasoning effort = medium
123.08.735 I slot print_timing: id  0 | task 188 | prompt eval time =    2666.10 ms /  1716 tokens (    1.55 ms per token,   643.60 tokens per second)  [23296 cached]
123.08.735 I slot print_timing: id  0 | task 188 |        eval time =    6108.30 ms /   352 tokens (   17.35 ms per token,    57.60 tokens per second)
123.08.735 I slot print_timing: id  0 | task 188 | draft acceptance = 0.87931 (  255 accepted /   290 generated)
123.08.735 I slot print_timing: id  0 | task 188 | reasoning effort = medium
123.12.840 I slot print_timing: id  0 | task 189 | prompt eval time =    1197.60 ms /   615 tokens (    1.95 ms per token,   513.50 tokens per second)  [24832 cached]
123.12.840 I slot print_timing: id  0 | task 189 |        eval time =    2679.60 ms /   165 tokens (   16.24 ms per token,    61.60 tokens per second)
123.12.840 I slot print_timing: id  0 | task 189 | draft acceptance = 0.96825 (  122 accepted /   126 generated)
123.12.840 I slot print_timing: id  0 | task 189 | reasoning effort = medium
123.22.683 I slot print_timing: id  0 | task 190 | prompt eval time =     823.10 ms /   353 tokens (    2.33 ms per token,   428.90 tokens per second)  [25344 cached]
123.22.683 I slot print_timing: id  0 | task 190 |        eval time =    8765.10 ms /   528 tokens (   16.60 ms per token,    60.20 tokens per second)
123.22.683 I slot print_timing: id  0 | task 190 | draft acceptance = 0.92823 (  388 accepted /   418 generated)
123.22.683 I slot print_timing: id  0 | task 190 | reasoning effort = medium
123.31.493 I slot print_timing: id  0 | task 191 | prompt eval time =    1379.60 ms /   706 tokens (    1.95 ms per token,   511.80 tokens per second)  [25600 cached]
123.31.493 I slot print_timing: id  0 | task 191 |        eval time =    7194.30 ms /   430 tokens (   16.73 ms per token,    59.80 tokens per second)
123.31.493 I slot print_timing: id  0 | task 191 | draft acceptance = 0.92105 (  315 accepted /   342 generated)
