140.04.642 I slot print_timing: id  0 | task 245 | prompt eval time =     925.10 ms /   370 tokens (    2.50 ms per token,   400.00 tokens per second)  [34816 cached]
140.04.642 I slot print_timing: id  0 | task 245 |        eval time =    5386.10 ms /   231 tokens (   23.32 ms per token,    42.90 tokens per second)
140.04.642 I slot print_timing: id  0 | task 245 | draft acceptance = 0.62241 (  150 accepted /   241 generated)
140.04.642 I slot print_timing: id  0 | task 245 | reasoning effort = medium
141.11.955 I slot print_timing: id  0 | task 246 | prompt eval time =    1473.30 ms /   999 tokens (    1.47 ms per token,   678.10 tokens per second)
141.11.955 I slot print_timing: id  0 | task 246 |        eval time =   65823.40 ms /  2819 tokens (   23.35 ms per token,    42.80 tokens per second)
141.11.955 I slot print_timing: id  0 | task 246 | draft acceptance = 0.52875 ( 1729 accepted /  3270 generated)
141.11.955 I slot print_timing: id  0 | task 246 | reasoning effort = xhigh
141.48.171 I slot print_timing: id  0 | task 246 | prompt eval time =   28100.30 ms / 21541 tokens (    1.30 ms per token,   766.60 tokens per second)
141.48.171 I slot print_timing: id  0 | task 246 |        eval time =    8099.00 ms /   458 tokens (   17.68 ms per token,    56.60 tokens per second)
141.48.171 I slot print_timing: id  0 | task 246 | draft acceptance = 0.84319 (  328 accepted /   389 generated)
141.48.171 I slot print_timing: id  0 | task 246 | reasoning effort = medium
142.03.565 I slot print_timing: id  0 | task 246 | prompt eval time =    1016.10 ms /   428 tokens (    2.37 ms per token,   421.20 tokens per second)  [35072 cached]
142.03.565 I slot print_timing: id  0 | task 246 |        eval time =   14335.10 ms /   837 tokens (   17.13 ms per token,    58.40 tokens per second)
142.03.565 I slot print_timing: id  0 | task 246 | draft acceptance = 0.92054 (  614 accepted /   667 generated)
142.03.565 I slot print_timing: id  0 | task 246 | reasoning effort = medium
142.10.244 I slot print_timing: id  0 | task 247 | prompt eval time =    2174.20 ms /  1217 tokens (    1.79 ms per token,   559.80 tokens per second)  [35328 cached]
142.10.244 I slot print_timing: id  0 | task 247 |        eval time =    4187.40 ms /   219 tokens (   19.12 ms per token,    52.30 tokens per second)
142.10.244 I slot print_timing: id  0 | task 247 | draft acceptance = 0.79793 (  154 accepted /   193 generated)
142.10.244 I slot print_timing: id  0 | task 247 | reasoning effort = medium
142.37.703 I slot print_timing: id  0 | task 248 | prompt eval time =    2842.70 ms /  1540 tokens (    1.85 ms per token,   541.70 tokens per second)  [36352 cached]
142.37.703 I slot print_timing: id  0 | task 248 |        eval time =   24320.50 ms /  1151 tokens (   21.13 ms per token,    47.30 tokens per second)
142.37.703 I slot print_timing: id  0 | task 248 | draft acceptance = 0.69039 (  776 accepted /  1124 generated)
142.37.703 I slot print_timing: id  0 | task 248 | reasoning effort = medium
142.48.810 I slot print_timing: id  0 | task 249 | prompt eval time =    2208.20 ms /  1282 tokens (    1.72 ms per token,   580.60 tokens per second)  [37888 cached]
142.48.810 I slot print_timing: id  0 | task 249 |        eval time =    7834.50 ms /   448 tokens (   17.49 ms per token,    57.20 tokens per second)
142.48.810 I slot print_timing: id  0 | task 249 | draft acceptance = 0.88076 (  325 accepted /   369 generated)
142.48.810 I slot print_timing: id  0 | task 249 | reasoning effort = medium
143.22.808 I slot print_timing: id  0 | task 250 | prompt eval time =    2022.40 ms /  1099 tokens (    1.84 ms per token,   543.40 tokens per second)  [39168 cached]
143.22.808 I slot print_timing: id  0 | task 250 |        eval time =   31277.20 ms /  1659 tokens (   18.85 ms per token,    53.00 tokens per second)
143.22.808 I slot print_timing: id  0 | task 250 | draft acceptance = 0.82600 ( 1182 accepted /  1431 generated)
143.22.808 I slot print_timing: id  0 | task 250 | reasoning effort = medium
143.36.129 I slot print_timing: id  0 | task 252 | prompt eval time =    1439.20 ms /   949 tokens (    1.52 ms per token,   659.40 tokens per second)
143.36.129 I slot print_timing: id  0 | task 252 |        eval time =    9501.20 ms /   465 tokens (   20.43 ms per token,    48.90 tokens per second)
143.36.129 I slot print_timing: id  0 | task 252 | draft acceptance = 0.63941 (  305 accepted /   477 generated)
143.36.129 I slot print_timing: id  0 | task 252 | reasoning effort = xhigh
144.04.392 I slot print_timing: id  0 | task 252 | prompt eval time =   27339.90 ms / 21138 tokens (    1.29 ms per token,   773.20 tokens per second)
144.04.392 I slot print_timing: id  0 | task 252 |        eval time =     906.50 ms /    56 tokens (   16.19 ms per token,    61.80 tokens per second)
144.04.392 I slot print_timing: id  0 | task 252 | draft acceptance = 0.91111 (   41 accepted /    45 generated)
144.04.392 I slot print_timing: id  0 | task 252 | reasoning effort = medium
150.00.541 I slot print_timing: id  0 | task 253 | prompt eval time =    1365.40 ms /   760 tokens (    1.80 ms per token,   556.60 tokens per second)  [20992 cached]
150.00.541 I slot print_timing: id  0 | task 253 |        eval time =  354542.60 ms / 15028 tokens (   23.59 ms per token,    42.40 tokens per second)
150.00.541 I slot print_timing: id  0 | task 253 | draft acceptance = 0.56961 ( 9480 accepted / 16643 generated)
150.00.541 I slot print_timing: id  0 | task 253 | reasoning effort = medium
150.27.210 I slot print_timing: id  0 | task 254 | prompt eval time =   23164.60 ms / 15364 tokens (    1.51 ms per token,   663.30 tokens per second)  [21504 cached]
150.27.210 I slot print_timing: id  0 | task 254 |        eval time =    2525.70 ms /   155 tokens (   16.29 ms per token,    61.40 tokens per second)
150.27.210 I slot print_timing: id  0 | task 254 | draft acceptance = 1.00000 (  116 accepted /   116 generated)
150.27.210 I slot print_timing: id  0 | task 254 | reasoning effort = medium
154.46.119 I slot print_timing: id  0 | task 255 | prompt eval time =    1148.50 ms /   541 tokens (    2.12 ms per token,   471.00 tokens per second)  [36864 cached]
154.46.119 I slot print_timing: id  0 | task 255 |        eval time =  257417.40 ms / 12241 tokens (   21.03 ms per token,    47.60 tokens per second)
154.46.119 I slot print_timing: id  0 | task 255 | draft acceptance = 0.74555 ( 8459 accepted / 11346 generated)
154.46.119 I slot print_timing: id  0 | task 255 | reasoning effort = medium
