106.45.011 I slot print_timing: id  0 | task 160 | prompt eval time =   34124.60 ms / 25874 tokens (    1.32 ms per token,   758.20 tokens per second)
106.45.011 I slot print_timing: id  0 | task 160 |        eval time =    4831.70 ms /   275 tokens (   17.57 ms per token,    56.90 tokens per second)
106.45.011 I slot print_timing: id  0 | task 160 | draft acceptance = 0.92237 (  202 accepted /   219 generated)
106.45.011 I slot print_timing: id  0 | task 160 | reasoning effort = medium
108.10.357 I slot print_timing: id  0 | task 161 | prompt eval time =    1919.30 ms /  1124 tokens (    1.71 ms per token,   585.60 tokens per second)  [25856 cached]
108.10.357 I slot print_timing: id  0 | task 161 |        eval time =   83082.60 ms /  3648 tokens (   22.77 ms per token,    43.90 tokens per second)
108.10.357 I slot print_timing: id  0 | task 161 | draft acceptance = 0.63302 ( 2389 accepted /  3774 generated)
108.10.357 I slot print_timing: id  0 | task 161 | reasoning effort = medium
108.32.706 I slot print_timing: id  0 | task 162 | prompt eval time =   12671.20 ms /  4366 tokens (    2.90 ms per token,   344.60 tokens per second)  [26880 cached]
108.32.706 I slot print_timing: id  0 | task 162 |        eval time =    8597.30 ms /   480 tokens (   17.91 ms per token,    55.80 tokens per second)
108.32.706 I slot print_timing: id  0 | task 162 | draft acceptance = 0.89031 (  349 accepted /   392 generated)
108.32.706 I slot print_timing: id  0 | task 162 | reasoning effort = medium
108.36.597 I slot print_timing: id  0 | task 163 | prompt eval time =    1210.40 ms /   600 tokens (    2.02 ms per token,   495.70 tokens per second)  [31232 cached]
108.36.597 I slot print_timing: id  0 | task 163 |        eval time =    2382.00 ms /   143 tokens (   16.66 ms per token,    60.00 tokens per second)
108.36.597 I slot print_timing: id  0 | task 163 | draft acceptance = 0.98148 (  106 accepted /   108 generated)
108.36.597 I slot print_timing: id  0 | task 163 | reasoning effort = medium
108.47.812 I slot print_timing: id  0 | task 164 | prompt eval time =     827.30 ms /   337 tokens (    2.45 ms per token,   407.30 tokens per second)  [31744 cached]
108.47.812 I slot print_timing: id  0 | task 164 |        eval time =   10125.30 ms /   583 tokens (   17.37 ms per token,    57.60 tokens per second)
108.47.812 I slot print_timing: id  0 | task 164 | draft acceptance = 0.92641 (  428 accepted /   462 generated)
108.47.812 I slot print_timing: id  0 | task 164 | reasoning effort = medium
108.50.642 I slot print_timing: id  0 | task 165 | prompt eval time =    1744.30 ms /   771 tokens (    2.26 ms per token,   442.00 tokens per second)  [32000 cached]
108.50.642 I slot print_timing: id  0 | task 165 |        eval time =     799.10 ms /    48 tokens (   16.65 ms per token,    60.10 tokens per second)
108.50.642 I slot print_timing: id  0 | task 165 | draft acceptance = 1.00000 (   36 accepted /    36 generated)
108.50.642 I slot print_timing: id  0 | task 165 | reasoning effort = medium
109.00.913 I slot print_timing: id  0 | task 166 | prompt eval time =     764.90 ms /   310 tokens (    2.47 ms per token,   405.30 tokens per second)  [32768 cached]
109.00.913 I slot print_timing: id  0 | task 166 |        eval time =    8626.60 ms /   452 tokens (   19.09 ms per token,    52.40 tokens per second)
109.00.913 I slot print_timing: id  0 | task 166 | draft acceptance = 0.82564 (  322 accepted /   390 generated)
109.00.913 I slot print_timing: id  0 | task 166 | reasoning effort = medium
109.04.856 I slot print_timing: id  0 | task 167 | prompt eval time =    1387.90 ms /   697 tokens (    1.99 ms per token,   502.20 tokens per second)  [33024 cached]
109.04.856 I slot print_timing: id  0 | task 167 |        eval time =    2243.50 ms /   111 tokens (   20.21 ms per token,    49.50 tokens per second)
109.04.856 I slot print_timing: id  0 | task 167 | draft acceptance = 0.77778 (   77 accepted /    99 generated)
109.04.856 I slot print_timing: id  0 | task 167 | reasoning effort = medium
109.17.136 I slot print_timing: id  0 | task 168 | prompt eval time =     868.50 ms /   353 tokens (    2.46 ms per token,   406.50 tokens per second)  [33536 cached]
109.17.136 I slot print_timing: id  0 | task 168 |        eval time =   10598.40 ms /   434 tokens (   24.42 ms per token,    40.90 tokens per second)
109.17.136 I slot print_timing: id  0 | task 168 | draft acceptance = 0.58599 (  276 accepted /   471 generated)
109.17.136 I slot print_timing: id  0 | task 168 | reasoning effort = medium
109.38.799 I slot print_timing: id  0 | task 170 | prompt eval time =    1398.20 ms /   910 tokens (    1.54 ms per token,   650.80 tokens per second)
109.38.799 I slot print_timing: id  0 | task 170 |        eval time =   18849.00 ms /   811 tokens (   23.24 ms per token,    43.00 tokens per second)
109.38.799 I slot print_timing: id  0 | task 170 | draft acceptance = 0.55011 (  505 accepted /   918 generated)
109.38.799 I slot print_timing: id  0 | task 170 | reasoning effort = xhigh
110.14.382 I slot print_timing: id  0 | task 170 | prompt eval time =   34592.50 ms / 25994 tokens (    1.33 ms per token,   751.40 tokens per second)
110.14.382 I slot print_timing: id  0 | task 170 |        eval time =     972.40 ms /    57 tokens (   17.06 ms per token,    58.60 tokens per second)
110.14.382 I slot print_timing: id  0 | task 170 | draft acceptance = 0.95455 (   42 accepted /    44 generated)
110.14.382 I slot print_timing: id  0 | task 170 | reasoning effort = medium
110.19.008 I slot print_timing: id  0 | task 171 | prompt eval time =    1776.80 ms /  1016 tokens (    1.75 ms per token,   571.80 tokens per second)  [25856 cached]
110.19.008 I slot print_timing: id  0 | task 171 |        eval time =    2597.60 ms /   156 tokens (   16.65 ms per token,    60.10 tokens per second)
110.19.008 I slot print_timing: id  0 | task 171 | draft acceptance = 0.96667 (  116 accepted /   120 generated)
110.19.008 I slot print_timing: id  0 | task 171 | reasoning effort = medium
111.06.972 I slot print_timing: id  0 | task 172 | prompt eval time =    2120.10 ms /  1234 tokens (    1.72 ms per token,   582.00 tokens per second)  [26624 cached]
111.06.972 I slot print_timing: id  0 | task 172 |        eval time =   45546.20 ms /  1907 tokens (   23.88 ms per token,    41.90 tokens per second)
111.06.972 I slot print_timing: id  0 | task 172 | draft acceptance = 0.59932 ( 1225 accepted /  2044 generated)
111.06.972 I slot print_timing: id  0 | task 172 | reasoning effort = medium
111.13.835 I slot print_timing: id  0 | task 173 | prompt eval time =    3527.90 ms /  2227 tokens (    1.58 ms per token,   631.30 tokens per second)  [27648 cached]
111.13.835 I slot print_timing: id  0 | task 173 |        eval time =    3042.30 ms /   147 tokens (   20.70 ms per token,    48.30 tokens per second)
111.13.835 I slot print_timing: id  0 | task 173 | draft acceptance = 0.73723 (  101 accepted /   137 generated)
111.13.835 I slot print_timing: id  0 | task 173 | reasoning effort = medium
111.21.362 I slot print_timing: id  0 | task 174 | prompt eval time =    1210.90 ms /   602 tokens (    2.01 ms per token,   497.20 tokens per second)  [29696 cached]
111.21.362 I slot print_timing: id  0 | task 174 |        eval time =    4916.60 ms /   272 tokens (   18.08 ms per token,    55.30 tokens per second)
111.21.362 I slot print_timing: id  0 | task 174 | draft acceptance = 0.90000 (  198 accepted /   220 generated)
111.21.362 I slot print_timing: id  0 | task 174 | reasoning effort = medium
111.24.723 I slot print_timing: id  0 | task 175 | prompt eval time =    1088.90 ms /   467 tokens (    2.33 ms per token,   428.90 tokens per second)  [30208 cached]
111.24.723 I slot print_timing: id  0 | task 175 |        eval time =    2003.30 ms /   109 tokens (   18.38 ms per token,    54.40 tokens per second)
111.24.723 I slot print_timing: id  0 | task 175 | draft acceptance = 0.83871 (   78 accepted /    93 generated)
111.24.723 I slot print_timing: id  0 | task 175 | reasoning effort = medium
111.38.576 I slot print_timing: id  0 | task 176 | prompt eval time =     917.70 ms /   379 tokens (    2.42 ms per token,   413.00 tokens per second)  [30464 cached]
111.38.576 I slot print_timing: id  0 | task 176 |        eval time =   12126.30 ms /   473 tokens (   25.64 ms per token,    39.00 tokens per second)
111.38.576 I slot print_timing: id  0 | task 176 | draft acceptance = 0.53394 (  291 accepted /   545 generated)
111.38.576 I slot print_timing: id  0 | task 176 | reasoning effort = medium
112.07.966 I slot print_timing: id  0 | task 178 | prompt eval time =    1414.90 ms /   903 tokens (    1.57 ms per token,   638.20 tokens per second)
112.07.966 I slot print_timing: id  0 | task 178 |        eval time =   26539.10 ms /  1109 tokens (   23.93 ms per token,    41.80 tokens per second)
112.07.966 I slot print_timing: id  0 | task 178 | draft acceptance = 0.53162 (  681 accepted /  1281 generated)
112.07.966 I slot print_timing: id  0 | task 178 | reasoning effort = xhigh
113.00.479 I slot print_timing: id  0 | task 178 | prompt eval time =   34643.70 ms / 26236 tokens (    1.32 ms per token,   757.30 tokens per second)
113.00.479 I slot print_timing: id  0 | task 178 |        eval time =   17851.50 ms /   814 tokens (   21.93 ms per token,    45.60 tokens per second)
113.00.479 I slot print_timing: id  0 | task 178 | draft acceptance = 0.67244 (  544 accepted /   809 generated)
113.00.479 I slot print_timing: id  0 | task 178 | reasoning effort = medium
113.08.468 I slot print_timing: id  0 | task 179 | prompt eval time =    3527.00 ms /  2255 tokens (    1.56 ms per token,   639.30 tokens per second)  [26112 cached]
113.08.468 I slot print_timing: id  0 | task 179 |        eval time =    3451.40 ms /   209 tokens (   16.51 ms per token,    60.60 tokens per second)
113.08.468 I slot print_timing: id  0 | task 179 | draft acceptance = 0.99363 (  156 accepted /   157 generated)
113.08.468 I slot print_timing: id  0 | task 179 | reasoning effort = medium
115.51.129 I slot print_timing: id  0 | task 180 | prompt eval time =    2140.40 ms /  1271 tokens (    1.68 ms per token,   593.80 tokens per second)  [28160 cached]
115.51.129 I slot print_timing: id  0 | task 180 |        eval time =  160191.40 ms /  6715 tokens (   23.86 ms per token,    41.90 tokens per second)
115.51.129 I slot print_timing: id  0 | task 180 | draft acceptance = 0.60142 ( 4320 accepted /  7183 generated)
115.51.129 I slot print_timing: id  0 | task 180 | reasoning effort = medium
117.57.660 I slot print_timing: id  0 | task 181 | prompt eval time =   12542.90 ms /  7908 tokens (    1.59 ms per token,   630.50 tokens per second)  [29184 cached]
117.57.660 I slot print_timing: id  0 | task 181 |        eval time =  112955.90 ms /  4957 tokens (   22.79 ms per token,    43.90 tokens per second)
117.57.660 I slot print_timing: id  0 | task 181 | draft acceptance = 0.66747 ( 3306 accepted /  4953 generated)
117.57.660 I slot print_timing: id  0 | task 181 | reasoning effort = medium
118.30.301 I slot print_timing: id  0 | task 182 | prompt eval time =   10628.40 ms /  6397 tokens (    1.66 ms per token,   601.90 tokens per second)  [36864 cached]
118.30.301 I slot print_timing: id  0 | task 182 |        eval time =   21644.70 ms /   956 tokens (   22.64 ms per token,    44.20 tokens per second)
118.30.301 I slot print_timing: id  0 | task 182 | draft acceptance = 0.69025 (  644 accepted /   933 generated)
118.30.301 I slot print_timing: id  0 | task 182 | reasoning effort = medium
120.02.936 I slot print_timing: id  0 | task 183 | prompt eval time =    2691.50 ms /  1440 tokens (    1.87 ms per token,   535.00 tokens per second)  [43008 cached]
120.02.936 I slot print_timing: id  0 | task 183 |        eval time =   88716.10 ms /  3746 tokens (   23.68 ms per token,    42.20 tokens per second)
120.02.936 I slot print_timing: id  0 | task 183 | draft acceptance = 0.65220 ( 2479 accepted /  3801 generated)
120.02.936 I slot print_timing: id  0 | task 183 | reasoning effort = medium
121.45.821 I slot print_timing: id  0 | task 185 | prompt eval time =    1579.10 ms /   992 tokens (    1.59 ms per token,   628.20 tokens per second)
121.45.821 I slot print_timing: id  0 | task 185 |        eval time =   23854.90 ms /   893 tokens (   26.71 ms per token,    37.40 tokens per second)
121.45.821 I slot print_timing: id  0 | task 185 | draft acceptance = 0.49352 (  533 accepted /  1080 generated)
121.45.821 I slot print_timing: id  0 | task 185 | reasoning effort = xhigh
122.20.762 I slot print_timing: id  0 | task 185 | prompt eval time =   27783.80 ms / 21178 tokens (    1.31 ms per token,   762.20 tokens per second)
122.20.762 I slot print_timing: id  0 | task 185 |        eval time =    7126.60 ms /   386 tokens (   18.46 ms per token,    54.20 tokens per second)
122.20.762 I slot print_timing: id  0 | task 185 | draft acceptance = 0.84709 (  277 accepted /   327 generated)
122.20.762 I slot print_timing: id  0 | task 185 | reasoning effort = medium
122.27.784 I slot print_timing: id  0 | task 186 | prompt eval time =    1721.20 ms /  1058 tokens (    1.63 ms per token,   614.70 tokens per second)  [20992 cached]
122.27.784 I slot print_timing: id  0 | task 186 |        eval time =    4345.90 ms /   275 tokens (   15.80 ms per token,    63.30 tokens per second)
