1.38.875 I slot print_timing: id  0 | task 1 | prompt eval time =   51659.90 ms / 36601 tokens (    1.41 ms per token,   708.50 tokens per second)
1.38.875 I slot print_timing: id  0 | task 1 |        eval time =    5063.60 ms /   255 tokens (   19.86 ms per token,    50.40 tokens per second)
1.38.875 I slot print_timing: id  0 | task 1 | draft acceptance = 0.77729 (  178 accepted /   229 generated)
1.38.875 I slot print_timing: id  0 | task 1 | reasoning effort = medium
1.44.362 I slot print_timing: id  0 | task 2 | prompt eval time =    3453.20 ms /  1900 tokens (    1.82 ms per token,   550.20 tokens per second)  [36352 cached]
1.44.362 I slot print_timing: id  0 | task 2 |        eval time =    1566.30 ms /    99 tokens (   15.82 ms per token,    63.20 tokens per second)
1.44.362 I slot print_timing: id  0 | task 2 | draft acceptance = 0.90000 (   72 accepted /    80 generated)
1.44.362 I slot print_timing: id  0 | task 2 | reasoning effort = medium
1.55.414 I slot print_timing: id  0 | task 3 | prompt eval time =    1229.00 ms /   583 tokens (    2.11 ms per token,   474.40 tokens per second)  [38144 cached]
1.55.414 I slot print_timing: id  0 | task 3 |        eval time =    9386.50 ms /   501 tokens (   18.74 ms per token,    53.40 tokens per second)
1.55.414 I slot print_timing: id  0 | task 3 | draft acceptance = 0.69405 (  338 accepted /   487 generated)
1.55.414 I slot print_timing: id  0 | task 3 | reasoning effort = medium
4.02.574 I slot print_timing: id  0 | task 4 | prompt eval time =    6574.10 ms /  3934 tokens (    1.67 ms per token,   598.40 tokens per second)  [38656 cached]
4.02.574 I slot print_timing: id  0 | task 4 |        eval time =  120150.80 ms /  5046 tokens (   23.81 ms per token,    42.00 tokens per second)
4.02.574 I slot print_timing: id  0 | task 4 | draft acceptance = 0.57371 ( 3191 accepted /  5562 generated)
4.02.574 I slot print_timing: id  0 | task 4 | reasoning effort = medium
6.39.549 I slot print_timing: id  0 | task 5 | prompt eval time =    9337.10 ms /  5250 tokens (    1.78 ms per token,   562.30 tokens per second)  [42496 cached]
6.39.549 I slot print_timing: id  0 | task 5 |        eval time =  146270.90 ms /  8410 tokens (   17.39 ms per token,    57.50 tokens per second)
6.39.549 I slot print_timing: id  0 | task 5 | draft acceptance = 0.90038 ( 6137 accepted /  6816 generated)
6.39.549 I slot print_timing: id  0 | task 5 | reasoning effort = medium
7.37.484 I slot print_timing: id  0 | task 6 | prompt eval time =   15878.90 ms /  8635 tokens (    1.84 ms per token,   543.80 tokens per second)  [47616 cached]
7.37.484 I slot print_timing: id  0 | task 6 |        eval time =   41528.20 ms /  2314 tokens (   17.95 ms per token,    55.70 tokens per second)
7.37.484 I slot print_timing: id  0 | task 6 | draft acceptance = 0.88713 ( 1682 accepted /  1896 generated)
7.37.484 I slot print_timing: id  0 | task 6 | reasoning effort = medium
7.45.902 I slot print_timing: id  0 | task 7 | prompt eval time =    5980.40 ms /  3144 tokens (    1.90 ms per token,   525.70 tokens per second)  [56064 cached]
7.45.902 I slot print_timing: id  0 | task 7 |        eval time =    1595.50 ms /    78 tokens (   20.46 ms per token,    48.90 tokens per second)
7.45.902 I slot print_timing: id  0 | task 7 | draft acceptance = 0.78261 (   54 accepted /    69 generated)
7.45.902 I slot print_timing: id  0 | task 7 | reasoning effort = medium
10.57.053 I slot print_timing: id  0 | task 8 | prompt eval time =    3677.80 ms /  1887 tokens (    1.95 ms per token,   513.10 tokens per second)  [59136 cached]
10.57.053 I slot print_timing: id  0 | task 8 |        eval time =  186922.20 ms /  7966 tokens (   23.47 ms per token,    42.60 tokens per second)
10.57.053 I slot print_timing: id  0 | task 8 | draft acceptance = 0.62258 ( 5188 accepted /  8333 generated)
10.57.053 I slot print_timing: id  0 | task 8 | reasoning effort = medium
13.53.890 I slot print_timing: id  0 | task 9 | prompt eval time =   16123.10 ms /  8357 tokens (    1.93 ms per token,   518.30 tokens per second)  [60928 cached]
13.53.890 I slot print_timing: id  0 | task 9 |        eval time =  159730.10 ms /  9009 tokens (   17.73 ms per token,    56.40 tokens per second)
13.53.890 I slot print_timing: id  0 | task 9 | draft acceptance = 0.94020 ( 6651 accepted /  7074 generated)
13.53.890 I slot print_timing: id  0 | task 9 | reasoning effort = medium
17.37.529 I slot print_timing: id  0 | task 10 | prompt eval time =   19138.70 ms /  9371 tokens (    2.04 ms per token,   489.60 tokens per second)  [69120 cached]
17.37.529 I slot print_timing: id  0 | task 10 |        eval time =  203898.70 ms /  9021 tokens (   22.60 ms per token,    44.20 tokens per second)
17.37.529 I slot print_timing: id  0 | task 10 | draft acceptance = 0.70956 ( 6137 accepted /  8649 generated)
17.37.529 I slot print_timing: id  0 | task 10 | reasoning effort = medium
21.24.203 I slot print_timing: id  0 | task 11 | prompt eval time =   22272.20 ms / 10356 tokens (    2.15 ms per token,   465.00 tokens per second)  [78336 cached]
21.24.203 I slot print_timing: id  0 | task 11 |        eval time =  203535.50 ms / 10793 tokens (   18.86 ms per token,    53.00 tokens per second)
21.24.203 I slot print_timing: id  0 | task 11 | draft acceptance = 0.93928 ( 7966 accepted /  8481 generated)
21.24.203 I slot print_timing: id  0 | task 11 | reasoning effort = medium
22.03.743 I slot print_timing: id  0 | task 12 | prompt eval time =   25510.30 ms / 11177 tokens (    2.28 ms per token,   438.10 tokens per second)  [88576 cached]
22.03.743 I slot print_timing: id  0 | task 12 |        eval time =   13340.50 ms /   571 tokens (   23.36 ms per token,    42.80 tokens per second)
22.03.743 I slot print_timing: id  0 | task 12 | draft acceptance = 0.65398 (  378 accepted /   578 generated)
22.03.743 I slot print_timing: id  0 | task 12 | reasoning effort = medium
22.43.876 I slot print_timing: id  0 | task 13 | prompt eval time =    2697.10 ms /  1069 tokens (    2.52 ms per token,   396.40 tokens per second)  [99584 cached]
22.43.876 I slot print_timing: id  0 | task 13 |        eval time =   36653.80 ms /  1509 tokens (   24.29 ms per token,    41.20 tokens per second)
22.43.876 I slot print_timing: id  0 | task 13 | draft acceptance = 0.62413 (  983 accepted /  1575 generated)
22.43.876 I slot print_timing: id  0 | task 13 | reasoning effort = medium
23.57.877 I slot print_timing: id  0 | task 14 | prompt eval time =    5443.80 ms /  2231 tokens (    2.44 ms per token,   409.80 tokens per second)  [100608 cached]
23.57.877 I slot print_timing: id  0 | task 14 |        eval time =   67765.00 ms /  3093 tokens (   21.91 ms per token,    45.60 tokens per second)
23.57.877 I slot print_timing: id  0 | task 14 | draft acceptance = 0.78006 ( 2167 accepted /  2778 generated)
23.57.877 I slot print_timing: id  0 | task 14 | reasoning effort = medium
24.21.468 I slot print_timing: id  0 | task 15 | prompt eval time =    8349.80 ms /  3381 tokens (    2.47 ms per token,   404.90 tokens per second)  [102656 cached]
24.21.468 I slot print_timing: id  0 | task 15 |        eval time =   11575.20 ms /   388 tokens (   29.83 ms per token,    33.50 tokens per second)
24.21.468 I slot print_timing: id  0 | task 15 | draft acceptance = 0.64394 (  255 accepted /   396 generated)
24.21.468 I slot print_timing: id  0 | task 15 | reasoning effort = medium
25.02.086 I slot print_timing: id  0 | task 16 | prompt eval time =    2234.90 ms /   725 tokens (    3.08 ms per token,   324.40 tokens per second)  [105984 cached]
25.02.086 I slot print_timing: id  0 | task 16 |        eval time =   30445.40 ms /  1070 tokens (   28.45 ms per token,    35.10 tokens per second)
25.02.086 I slot print_timing: id  0 | task 16 | draft acceptance = 0.56376 (  672 accepted /  1192 generated)
25.02.086 I slot print_timing: id  0 | task 16 | reasoning effort = medium
25.15.899 I slot print_timing: id  0 | task 17 | prompt eval time =    3840.20 ms /  1420 tokens (    2.70 ms per token,   369.80 tokens per second)  [106496 cached]
25.15.899 I slot print_timing: id  0 | task 17 |        eval time =    3306.50 ms /   159 tokens (   20.80 ms per token,    48.10 tokens per second)
25.15.899 I slot print_timing: id  0 | task 17 | draft acceptance = 0.87786 (  115 accepted /   131 generated)
25.15.899 I slot print_timing: id  0 | task 17 | reasoning effort = medium
26.49.769 I slot print_timing: id  0 | task 18 | prompt eval time =    1445.30 ms /   423 tokens (    3.42 ms per token,   292.70 tokens per second)  [107776 cached]
26.49.769 I slot print_timing: id  0 | task 18 |        eval time =   90730.70 ms /  3760 tokens (   24.13 ms per token,    41.40 tokens per second)
26.49.769 I slot print_timing: id  0 | task 18 | draft acceptance = 0.71696 ( 2566 accepted /  3579 generated)
26.49.769 I slot print_timing: id  0 | task 18 | reasoning effort = medium
28.00.885 I slot print_timing: id  0 | task 20 | prompt eval time =   37241.50 ms / 28180 tokens (    1.32 ms per token,   756.70 tokens per second)
28.00.885 I slot print_timing: id  0 | task 20 |        eval time =   33479.50 ms /  1688 tokens (   19.83 ms per token,    50.40 tokens per second)
28.00.885 I slot print_timing: id  0 | task 20 | draft acceptance = 0.75177 ( 1169 accepted /  1555 generated)
28.00.885 I slot print_timing: id  0 | task 20 | reasoning effort = medium
28.35.162 I slot print_timing: id  0 | task 21 | prompt eval time =   11275.50 ms /  4355 tokens (    2.59 ms per token,   386.20 tokens per second)  [108032 cached]
28.35.162 I slot print_timing: id  0 | task 21 |        eval time =   22946.20 ms /   961 tokens (   23.88 ms per token,    41.90 tokens per second)
28.35.162 I slot print_timing: id  0 | task 21 | draft acceptance = 0.75510 (  666 accepted /   882 generated)
28.35.162 I slot print_timing: id  0 | task 21 | reasoning effort = medium
29.00.421 I slot print_timing: id  0 | task 22 | prompt eval time =    5365.10 ms /  3372 tokens (    1.59 ms per token,   628.50 tokens per second)  [28160 cached]
29.00.421 I slot print_timing: id  0 | task 22 |        eval time =   19841.60 ms /  1029 tokens (   19.28 ms per token,    51.90 tokens per second)
29.00.421 I slot print_timing: id  0 | task 22 | draft acceptance = 0.76064 (  715 accepted /   940 generated)
29.00.421 I slot print_timing: id  0 | task 22 | reasoning effort = medium
30.10.768 I slot print_timing: id  0 | task 22 | prompt eval time =    3287.60 ms /  1114 tokens (    2.95 ms per token,   338.90 tokens per second)  [112384 cached]
30.10.768 I slot print_timing: id  0 | task 22 |        eval time =   67001.20 ms /  2812 tokens (   23.83 ms per token,    42.00 tokens per second)
30.10.768 I slot print_timing: id  0 | task 22 | draft acceptance = 0.74187 ( 1940 accepted /  2615 generated)
30.10.768 I slot print_timing: id  0 | task 22 | reasoning effort = medium
31.41.300 I slot print_timing: id  0 | task 23 | prompt eval time =   12267.60 ms /  4614 tokens (    2.66 ms per token,   376.10 tokens per second)  [113408 cached]
31.41.300 I slot print_timing: id  0 | task 23 |        eval time =   76984.40 ms /  2866 tokens (   26.86 ms per token,    37.20 tokens per second)
31.41.300 I slot print_timing: id  0 | task 23 | draft acceptance = 0.62819 ( 1872 accepted /  2980 generated)
31.41.300 I slot print_timing: id  0 | task 23 | reasoning effort = medium
32.06.704 I slot print_timing: id  0 | task 24 | prompt eval time =    8192.20 ms /  2972 tokens (    2.76 ms per token,   362.80 tokens per second)  [118016 cached]
32.06.704 I slot print_timing: id  0 | task 24 |        eval time =    6982.20 ms /   292 tokens (   23.91 ms per token,    41.80 tokens per second)
32.06.704 I slot print_timing: id  0 | task 24 | draft acceptance = 0.76030 (  203 accepted /   267 generated)
32.06.704 I slot print_timing: id  0 | task 24 | reasoning effort = medium
32.13.552 I slot print_timing: id  0 | task 25 | prompt eval time =    1781.10 ms /   568 tokens (    3.14 ms per token,   318.90 tokens per second)  [120832 cached]
32.13.552 I slot print_timing: id  0 | task 25 |        eval time =    3837.00 ms /   188 tokens (   20.41 ms per token,    49.00 tokens per second)
32.13.552 I slot print_timing: id  0 | task 25 | draft acceptance = 0.92617 (  138 accepted /   149 generated)
32.13.552 I slot print_timing: id  0 | task 25 | reasoning effort = medium
32.22.317 I slot print_timing: id  0 | task 26 | prompt eval time =    1755.80 ms /   564 tokens (    3.11 ms per token,   321.20 tokens per second)  [121344 cached]
32.22.317 I slot print_timing: id  0 | task 26 |        eval time =    5781.60 ms /   260 tokens (   22.24 ms per token,    45.00 tokens per second)
32.22.317 I slot print_timing: id  0 | task 26 | draft acceptance = 0.83333 (  185 accepted /   222 generated)
32.22.317 I slot print_timing: id  0 | task 26 | reasoning effort = medium
32.29.614 I slot print_timing: id  0 | task 27 | prompt eval time =    1533.80 ms /   389 tokens (    3.94 ms per token,   253.60 tokens per second)  [121856 cached]
32.29.614 I slot print_timing: id  0 | task 27 |        eval time =    4553.20 ms /   217 tokens (   20.98 ms per token,    47.70 tokens per second)
32.29.614 I slot print_timing: id  0 | task 27 | draft acceptance = 0.89773 (  158 accepted /   176 generated)
32.29.614 I slot print_timing: id  0 | task 27 | reasoning effort = medium
32.44.162 I slot print_timing: id  0 | task 28 | prompt eval time =    2155.80 ms /   648 tokens (    3.33 ms per token,   300.60 tokens per second)  [122112 cached]
32.44.162 I slot print_timing: id  0 | task 28 |        eval time =   11172.90 ms /   474 tokens (   23.57 ms per token,    42.40 tokens per second)
32.44.162 I slot print_timing: id  0 | task 28 | draft acceptance = 0.76566 (  330 accepted /   431 generated)
32.44.162 I slot print_timing: id  0 | task 28 | reasoning effort = medium
34.30.024 I slot print_timing: id  0 | task 29 | prompt eval time =    3783.70 ms /  1137 tokens (    3.33 ms per token,   300.50 tokens per second)  [122624 cached]
34.30.024 I slot print_timing: id  0 | task 29 |        eval time =   86000.50 ms /  3123 tokens (   27.54 ms per token,    36.30 tokens per second)
34.30.024 I slot print_timing: id  0 | task 29 | draft acceptance = 0.64270 ( 2056 accepted /  3199 generated)
34.30.024 I slot print_timing: id  0 | task 29 | reasoning effort = medium
34.52.399 I slot print_timing: id  0 | task 30 | prompt eval time =    9093.70 ms /  3312 tokens (    2.75 ms per token,   364.20 tokens per second)  [123648 cached]
34.52.399 I slot print_timing: id  0 | task 30 |        eval time =   12253.50 ms /   566 tokens (   21.65 ms per token,    46.20 tokens per second)
34.52.399 I slot print_timing: id  0 | task 30 | draft acceptance = 0.88387 (  411 accepted /   465 generated)
34.52.399 I slot print_timing: id  0 | task 30 | reasoning effort = medium
35.07.654 I slot print_timing: id  0 | task 31 | prompt eval time =    2736.20 ms /   896 tokens (    3.05 ms per token,   327.50 tokens per second)  [126720 cached]
35.07.654 I slot print_timing: id  0 | task 31 |        eval time =   11496.30 ms /   543 tokens (   21.17 ms per token,    47.20 tokens per second)
35.07.654 I slot print_timing: id  0 | task 31 | draft acceptance = 0.91494 (  398 accepted /   435 generated)
35.07.654 I slot print_timing: id  0 | task 31 | reasoning effort = medium
35.15.216 I slot print_timing: id  0 | task 32 | prompt eval time =    2414.50 ms /   768 tokens (    3.14 ms per token,   318.10 tokens per second)  [127488 cached]
35.15.216 I slot print_timing: id  0 | task 32 |        eval time =    4107.00 ms /   194 tokens (   21.17 ms per token,    47.20 tokens per second)
35.15.216 I slot print_timing: id  0 | task 32 | draft acceptance = 0.92208 (  142 accepted /   154 generated)
35.15.216 I slot print_timing: id  0 | task 32 | reasoning effort = medium
35.25.069 I slot print_timing: id  0 | task 33 | prompt eval time =    1989.50 ms /   603 tokens (    3.30 ms per token,   303.10 tokens per second)  [128000 cached]
35.25.069 I slot print_timing: id  0 | task 33 |        eval time =    7156.70 ms /   286 tokens (   25.02 ms per token,    40.00 tokens per second)
35.25.069 I slot print_timing: id  0 | task 33 | draft acceptance = 0.72593 (  196 accepted /   270 generated)
35.25.069 I slot print_timing: id  0 | task 33 | reasoning effort = medium
36.20.321 I slot print_timing: id  0 | task 34 | prompt eval time =    7956.10 ms /  2822 tokens (    2.82 ms per token,   354.70 tokens per second)  [128512 cached]
36.20.321 I slot print_timing: id  0 | task 34 |        eval time =   36994.10 ms /  1282 tokens (   28.86 ms per token,    34.70 tokens per second)
36.20.321 I slot print_timing: id  0 | task 34 | draft acceptance = 0.61464 (  831 accepted /  1352 generated)
36.20.321 I slot print_timing: id  0 | task 34 | reasoning effort = medium
37.58.928 I slot print_timing: id  0 | task 35 | prompt eval time =    7449.30 ms /  2598 tokens (    2.87 ms per token,   348.80 tokens per second)  [131328 cached]
37.58.928 I slot print_timing: id  0 | task 35 |        eval time =   84587.80 ms /  3183 tokens (   26.57 ms per token,    37.60 tokens per second)
37.58.928 I slot print_timing: id  0 | task 35 | draft acceptance = 0.69477 ( 2151 accepted /  3096 generated)
37.58.928 I slot print_timing: id  0 | task 35 | reasoning effort = medium
40.09.347 I slot print_timing: id  0 | task 36 | prompt eval time =   10019.80 ms /  3500 tokens (    2.86 ms per token,   349.30 tokens per second)  [133888 cached]
40.09.347 I slot print_timing: id  0 | task 36 |        eval time =  118982.50 ms /  4311 tokens (   27.60 ms per token,    36.20 tokens per second)
40.09.347 I slot print_timing: id  0 | task 36 | draft acceptance = 0.65991 ( 2864 accepted /  4340 generated)
40.09.347 I slot print_timing: id  0 | task 36 | reasoning effort = medium
40.47.731 I slot print_timing: id  0 | task 37 | prompt eval time =   13671.60 ms /  4735 tokens (    2.89 ms per token,   346.30 tokens per second)  [137216 cached]
40.47.731 I slot print_timing: id  0 | task 37 |        eval time =   23341.00 ms /   898 tokens (   25.99 ms per token,    38.50 tokens per second)
40.47.731 I slot print_timing: id  0 | task 37 | draft acceptance = 0.70127 (  608 accepted /   867 generated)
40.47.731 I slot print_timing: id  0 | task 37 | reasoning effort = medium
40.58.209 I slot print_timing: id  0 | task 38 | prompt eval time =    3776.50 ms /  1216 tokens (    3.11 ms per token,   322.00 tokens per second)  [141824 cached]
40.58.209 I slot print_timing: id  0 | task 38 |        eval time =    5466.80 ms /   262 tokens (   20.87 ms per token,    47.90 tokens per second)
40.58.209 I slot print_timing: id  0 | task 38 | draft acceptance = 0.96517 (  194 accepted /   201 generated)
40.58.209 I slot print_timing: id  0 | task 38 | reasoning effort = medium
43.28.439 I slot print_timing: id  0 | task 39 | prompt eval time =    5173.00 ms /  1672 tokens (    3.09 ms per token,   323.20 tokens per second)  [142848 cached]
43.28.439 I slot print_timing: id  0 | task 39 |        eval time =  143709.70 ms /  5245 tokens (   27.40 ms per token,    36.50 tokens per second)
43.28.439 I slot print_timing: id  0 | task 39 | draft acceptance = 0.68340 ( 3525 accepted /  5158 generated)
43.28.439 I slot print_timing: id  0 | task 39 | reasoning effort = medium
44.43.895 I slot print_timing: id  0 | task 40 | prompt eval time =   16711.20 ms /  5692 tokens (    2.94 ms per token,   340.60 tokens per second)  [144384 cached]
44.43.895 I slot print_timing: id  0 | task 40 |        eval time =   57290.80 ms /  1965 tokens (   29.16 ms per token,    34.30 tokens per second)
44.43.895 I slot print_timing: id  0 | task 40 | draft acceptance = 0.62659 ( 1282 accepted /  2046 generated)
44.43.895 I slot print_timing: id  0 | task 40 | reasoning effort = medium
