127.58.422 I slot print_timing: id  0 | task 476 | prompt eval time =    2105.00 ms /  1313 tokens (    1.60 ms per token,   623.80 tokens per second)  [29184 cached]
127.58.422 I slot print_timing: id  0 | task 476 |        eval time =    1947.80 ms /   130 tokens (   14.98 ms per token,    66.70 tokens per second)
127.58.422 I slot print_timing: id  0 | task 476 | draft acceptance = 0.96000 (   96 accepted /   100 generated)
127.58.422 I slot print_timing: id  0 | task 476 | reasoning effort = medium
128.14.953 I slot print_timing: id  0 | task 477 | prompt eval time =     529.70 ms /   248 tokens (    2.14 ms per token,   468.20 tokens per second)  [30464 cached]
128.14.953 I slot print_timing: id  0 | task 477 |        eval time =   15854.70 ms /  1088 tokens (   14.57 ms per token,    68.60 tokens per second)
128.14.953 I slot print_timing: id  0 | task 477 | draft acceptance = 0.96535 (  808 accepted /   837 generated)
128.14.953 I slot print_timing: id  0 | task 477 | reasoning effort = medium
128.18.496 I slot print_timing: id  0 | task 478 | prompt eval time =    2391.30 ms /  1421 tokens (    1.68 ms per token,   594.20 tokens per second)  [30464 cached]
128.18.496 I slot print_timing: id  0 | task 478 |        eval time =     990.60 ms /    64 tokens (   15.48 ms per token,    64.60 tokens per second)
128.18.496 I slot print_timing: id  0 | task 478 | draft acceptance = 0.97917 (   47 accepted /    48 generated)
128.18.496 I slot print_timing: id  0 | task 478 | reasoning effort = medium
128.21.888 I slot print_timing: id  0 | task 479 | prompt eval time =     996.90 ms /   265 tokens (    3.76 ms per token,   265.80 tokens per second)  [31744 cached]
128.21.888 I slot print_timing: id  0 | task 479 |        eval time =    1778.00 ms /   112 tokens (   15.88 ms per token,    63.00 tokens per second)
128.21.888 I slot print_timing: id  0 | task 479 | draft acceptance = 0.87097 (   81 accepted /    93 generated)
128.21.888 I slot print_timing: id  0 | task 479 | reasoning effort = medium
128.23.346 I slot print_timing: id  0 | task 480 | prompt eval time =     423.10 ms /   167 tokens (    2.53 ms per token,   394.70 tokens per second)  [32000 cached]
128.23.346 I slot print_timing: id  0 | task 480 |        eval time =     870.40 ms /    55 tokens (   15.83 ms per token,    63.20 tokens per second)
128.23.346 I slot print_timing: id  0 | task 480 | draft acceptance = 0.90909 (   40 accepted /    44 generated)
128.23.346 I slot print_timing: id  0 | task 480 | reasoning effort = medium
