6.10.780 I slot print_timing: id  0 | task 21 | prompt eval time =     893.20 ms /   381 tokens (    2.34 ms per token,   426.60 tokens per second)  [30208 cached]
6.10.780 I slot print_timing: id  0 | task 21 |        eval time =    2005.20 ms /   128 tokens (   15.67 ms per token,    63.80 tokens per second)
6.10.780 I slot print_timing: id  0 | task 21 | draft acceptance = 0.91176 (   93 accepted /   102 generated)
6.10.780 I slot print_timing: id  0 | task 21 | reasoning effort = medium
6.24.999 I slot print_timing: id  0 | task 22 | prompt eval time =    1107.90 ms /   337 tokens (    3.29 ms per token,   304.20 tokens per second)  [30464 cached]
6.24.999 I slot print_timing: id  0 | task 22 |        eval time =   12958.80 ms /   869 tokens (   14.91 ms per token,    67.10 tokens per second)
6.24.999 I slot print_timing: id  0 | task 22 | draft acceptance = 0.93713 (  641 accepted /   684 generated)
6.24.999 I slot print_timing: id  0 | task 22 | reasoning effort = medium
6.28.236 I slot print_timing: id  0 | task 23 | prompt eval time =    2063.90 ms /  1034 tokens (    2.00 ms per token,   501.00 tokens per second)  [30720 cached]
6.28.236 I slot print_timing: id  0 | task 23 |        eval time =    1018.80 ms /    68 tokens (   14.98 ms per token,    66.70 tokens per second)
6.28.236 I slot print_timing: id  0 | task 23 | draft acceptance = 0.94340 (   50 accepted /    53 generated)
6.28.236 I slot print_timing: id  0 | task 23 | reasoning effort = medium
6.32.189 I slot print_timing: id  0 | task 24 | prompt eval time =     410.30 ms /   139 tokens (    2.95 ms per token,   338.80 tokens per second)  [31744 cached]
6.32.189 I slot print_timing: id  0 | task 24 |        eval time =    2874.60 ms /   156 tokens (   18.43 ms per token,    54.30 tokens per second)
6.32.189 I slot print_timing: id  0 | task 24 | draft acceptance = 0.72109 (  106 accepted /   147 generated)
6.32.189 I slot print_timing: id  0 | task 24 | reasoning effort = medium
6.37.544 I slot print_timing: id  0 | task 25 | prompt eval time =     853.10 ms /   355 tokens (    2.40 ms per token,   416.10 tokens per second)  [31744 cached]
6.37.544 I slot print_timing: id  0 | task 25 |        eval time =    3822.10 ms /   213 tokens (   17.94 ms per token,    55.70 tokens per second)
6.37.544 I slot print_timing: id  0 | task 25 | draft acceptance = 0.72637 (  146 accepted /   201 generated)
6.37.544 I slot print_timing: id  0 | task 25 | reasoning effort = medium
6.43.491 I slot print_timing: id  0 | task 26 | prompt eval time =    1060.90 ms /   462 tokens (    2.30 ms per token,   435.50 tokens per second)  [32000 cached]
6.43.491 I slot print_timing: id  0 | task 26 |        eval time =    4595.90 ms /   300 tokens (   15.32 ms per token,    65.30 tokens per second)
6.43.491 I slot print_timing: id  0 | task 26 | draft acceptance = 0.91667 (  220 accepted /   240 generated)
6.43.491 I slot print_timing: id  0 | task 26 | reasoning effort = medium
6.45.555 I slot print_timing: id  0 | task 27 | prompt eval time =    1087.60 ms /   558 tokens (    1.95 ms per token,   513.10 tokens per second)  [32256 cached]
6.45.555 I slot print_timing: id  0 | task 27 |        eval time =     825.10 ms /    50 tokens (   16.50 ms per token,    60.60 tokens per second)
6.45.555 I slot print_timing: id  0 | task 27 | draft acceptance = 0.92308 (   36 accepted /    39 generated)
6.45.555 I slot print_timing: id  0 | task 27 | reasoning effort = medium
7.24.081 I slot print_timing: id  0 | task 28 | prompt eval time =    2350.70 ms /  1388 tokens (    1.69 ms per token,   590.50 tokens per second)  [32768 cached]
7.24.081 I slot print_timing: id  0 | task 28 |        eval time =   35998.70 ms /  1896 tokens (   18.99 ms per token,    52.70 tokens per second)
7.24.081 I slot print_timing: id  0 | task 28 | draft acceptance = 0.69210 ( 1279 accepted /  1848 generated)
7.24.081 I slot print_timing: id  0 | task 28 | reasoning effort = medium
7.36.125 I slot print_timing: id  0 | task 29 | prompt eval time =    3642.20 ms /  2218 tokens (    1.64 ms per token,   609.00 tokens per second)  [34048 cached]
7.36.125 I slot print_timing: id  0 | task 29 |        eval time =    8080.00 ms /   462 tokens (   17.49 ms per token,    57.20 tokens per second)
7.36.125 I slot print_timing: id  0 | task 29 | draft acceptance = 0.77458 (  323 accepted /   417 generated)
7.36.125 I slot print_timing: id  0 | task 29 | reasoning effort = medium
7.47.290 I slot print_timing: id  0 | task 30 | prompt eval time =    1760.50 ms /   932 tokens (    1.89 ms per token,   529.40 tokens per second)  [36096 cached]
7.47.290 I slot print_timing: id  0 | task 30 |        eval time =    8986.70 ms /   497 tokens (   18.08 ms per token,    55.30 tokens per second)
7.47.290 I slot print_timing: id  0 | task 30 | draft acceptance = 0.75109 (  344 accepted /   458 generated)
7.47.290 I slot print_timing: id  0 | task 30 | reasoning effort = medium
7.58.471 I slot print_timing: id  0 | task 31 | prompt eval time =    1500.40 ms /   807 tokens (    1.86 ms per token,   537.90 tokens per second)  [36864 cached]
7.58.471 I slot print_timing: id  0 | task 31 |        eval time =    8116.50 ms /   393 tokens (   20.65 ms per token,    48.40 tokens per second)
7.58.471 I slot print_timing: id  0 | task 31 | draft acceptance = 0.62044 (  255 accepted /   411 generated)
7.58.471 I slot print_timing: id  0 | task 31 | reasoning effort = medium
8.37.415 I slot print_timing: id  0 | task 32 | prompt eval time =    1394.00 ms /   694 tokens (    2.01 ms per token,   497.90 tokens per second)  [37632 cached]
8.37.415 I slot print_timing: id  0 | task 32 |        eval time =   37203.60 ms /  1975 tokens (   18.84 ms per token,    53.10 tokens per second)
8.37.415 I slot print_timing: id  0 | task 32 | draft acceptance = 0.70781 ( 1342 accepted /  1896 generated)
8.37.415 I slot print_timing: id  0 | task 32 | reasoning effort = medium
9.13.027 I slot print_timing: id  0 | task 34 | prompt eval time =    1447.30 ms /  1006 tokens (    1.44 ms per token,   695.10 tokens per second)
9.13.027 I slot print_timing: id  0 | task 34 |        eval time =   32013.20 ms /  1530 tokens (   20.92 ms per token,    47.80 tokens per second)
9.13.027 I slot print_timing: id  0 | task 34 | draft acceptance = 0.49325 (  913 accepted /  1851 generated)
9.13.027 I slot print_timing: id  0 | task 34 | reasoning effort = xhigh
9.48.926 I slot print_timing: id  0 | task 34 | prompt eval time =   27206.90 ms / 21305 tokens (    1.28 ms per token,   783.10 tokens per second)
9.48.926 I slot print_timing: id  0 | task 34 |        eval time =    8684.10 ms /   554 tokens (   15.68 ms per token,    63.80 tokens per second)
9.48.926 I slot print_timing: id  0 | task 34 | draft acceptance = 0.86768 (  400 accepted /   461 generated)
9.48.926 I slot print_timing: id  0 | task 34 | reasoning effort = medium
9.55.357 I slot print_timing: id  0 | task 35 | prompt eval time =    1715.80 ms /  1097 tokens (    1.56 ms per token,   639.30 tokens per second)  [21248 cached]
9.55.357 I slot print_timing: id  0 | task 35 |        eval time =    3899.00 ms /   276 tokens (   14.13 ms per token,    70.80 tokens per second)
9.55.357 I slot print_timing: id  0 | task 35 | draft acceptance = 0.98565 (  206 accepted /   209 generated)
9.55.357 I slot print_timing: id  0 | task 35 | reasoning effort = medium
11.05.218 I slot print_timing: id  0 | task 36 | prompt eval time =    2338.50 ms /  1503 tokens (    1.56 ms per token,   642.70 tokens per second)  [22272 cached]
11.05.218 I slot print_timing: id  0 | task 36 |        eval time =   67373.00 ms /  3940 tokens (   17.10 ms per token,    58.50 tokens per second)
11.05.218 I slot print_timing: id  0 | task 36 | draft acceptance = 0.77145 ( 2751 accepted /  3566 generated)
11.05.218 I slot print_timing: id  0 | task 36 | reasoning effort = medium
11.12.419 I slot print_timing: id  0 | task 37 | prompt eval time =    6183.10 ms /  4185 tokens (    1.48 ms per token,   676.80 tokens per second)  [23552 cached]
11.12.419 I slot print_timing: id  0 | task 37 |        eval time =     855.30 ms /    54 tokens (   15.84 ms per token,    63.10 tokens per second)
11.12.419 I slot print_timing: id  0 | task 37 | draft acceptance = 0.86667 (   39 accepted /    45 generated)
11.12.419 I slot print_timing: id  0 | task 37 | reasoning effort = medium
11.16.307 I slot print_timing: id  0 | task 38 | prompt eval time =     426.50 ms /   188 tokens (    2.27 ms per token,   440.80 tokens per second)  [27648 cached]
11.16.307 I slot print_timing: id  0 | task 38 |        eval time =    3334.70 ms /   226 tokens (   14.76 ms per token,    67.80 tokens per second)
11.16.307 I slot print_timing: id  0 | task 38 | draft acceptance = 0.95977 (  167 accepted /   174 generated)
11.16.307 I slot print_timing: id  0 | task 38 | reasoning effort = medium
11.19.225 I slot print_timing: id  0 | task 39 | prompt eval time =    1201.80 ms /   497 tokens (    2.42 ms per token,   413.60 tokens per second)  [27648 cached]
11.19.225 I slot print_timing: id  0 | task 39 |        eval time =    1577.50 ms /   106 tokens (   14.88 ms per token,    67.20 tokens per second)
11.19.225 I slot print_timing: id  0 | task 39 | draft acceptance = 0.92857 (   78 accepted /    84 generated)
11.19.225 I slot print_timing: id  0 | task 39 | reasoning effort = medium
11.25.528 I slot print_timing: id  0 | task 40 | prompt eval time =     934.20 ms /   403 tokens (    2.32 ms per token,   431.40 tokens per second)  [27904 cached]
11.25.528 I slot print_timing: id  0 | task 40 |        eval time =    5235.10 ms /   348 tokens (   15.04 ms per token,    66.50 tokens per second)
11.25.528 I slot print_timing: id  0 | task 40 | draft acceptance = 0.91727 (  255 accepted /   278 generated)
11.25.528 I slot print_timing: id  0 | task 40 | reasoning effort = medium
11.29.305 I slot print_timing: id  0 | task 41 | prompt eval time =    1121.50 ms /   578 tokens (    1.94 ms per token,   515.40 tokens per second)  [28160 cached]
11.29.305 I slot print_timing: id  0 | task 41 |        eval time =    2518.00 ms /   175 tokens (   14.39 ms per token,    69.50 tokens per second)
11.29.305 I slot print_timing: id  0 | task 41 | draft acceptance = 1.00000 (  131 accepted /   131 generated)
11.29.305 I slot print_timing: id  0 | task 41 | reasoning effort = medium
11.31.588 I slot print_timing: id  0 | task 42 | prompt eval time =     776.30 ms /   326 tokens (    2.38 ms per token,   419.90 tokens per second)  [28672 cached]
11.31.588 I slot print_timing: id  0 | task 42 |        eval time =    1371.10 ms /    91 tokens (   15.07 ms per token,    66.40 tokens per second)
11.31.588 I slot print_timing: id  0 | task 42 | draft acceptance = 0.97101 (   67 accepted /    69 generated)
11.31.588 I slot print_timing: id  0 | task 42 | reasoning effort = medium
11.46.388 I slot print_timing: id  0 | task 43 | prompt eval time =     498.50 ms /   217 tokens (    2.30 ms per token,   435.30 tokens per second)  [28928 cached]
11.46.388 I slot print_timing: id  0 | task 43 |        eval time =   14167.50 ms /   932 tokens (   15.20 ms per token,    65.80 tokens per second)
11.46.388 I slot print_timing: id  0 | task 43 | draft acceptance = 0.92308 (  684 accepted /   741 generated)
11.46.388 I slot print_timing: id  0 | task 43 | reasoning effort = medium
11.55.894 I slot print_timing: id  0 | task 44 | prompt eval time =    2007.80 ms /  1188 tokens (    1.69 ms per token,   591.70 tokens per second)  [28928 cached]
11.55.894 I slot print_timing: id  0 | task 44 |        eval time =    7331.90 ms /   415 tokens (   17.67 ms per token,    56.60 tokens per second)
11.55.894 I slot print_timing: id  0 | task 44 | draft acceptance = 0.75131 (  287 accepted /   382 generated)
11.55.894 I slot print_timing: id  0 | task 44 | reasoning effort = medium
11.59.736 I slot print_timing: id  0 | task 45 | prompt eval time =    1253.90 ms /   633 tokens (    1.98 ms per token,   504.80 tokens per second)  [29952 cached]
11.59.736 I slot print_timing: id  0 | task 45 |        eval time =    2444.30 ms /   152 tokens (   16.08 ms per token,    62.20 tokens per second)
11.59.736 I slot print_timing: id  0 | task 45 | draft acceptance = 0.86508 (  109 accepted /   126 generated)
11.59.736 I slot print_timing: id  0 | task 45 | reasoning effort = medium
12.15.813 I slot print_timing: id  0 | task 46 | prompt eval time =     853.80 ms /   359 tokens (    2.38 ms per token,   420.50 tokens per second)  [30464 cached]
12.15.813 I slot print_timing: id  0 | task 46 |        eval time =   15068.10 ms /   998 tokens (   15.10 ms per token,    66.20 tokens per second)
12.15.813 I slot print_timing: id  0 | task 46 | draft acceptance = 0.92911 (  734 accepted /   790 generated)
12.15.813 I slot print_timing: id  0 | task 46 | reasoning effort = medium
12.19.032 I slot print_timing: id  0 | task 47 | prompt eval time =    2036.10 ms /  1186 tokens (    1.72 ms per token,   582.50 tokens per second)  [30720 cached]
12.19.032 I slot print_timing: id  0 | task 47 |        eval time =    1025.90 ms /    66 tokens (   15.54 ms per token,    64.30 tokens per second)
12.19.032 I slot print_timing: id  0 | task 47 | draft acceptance = 0.92308 (   48 accepted /    52 generated)
12.19.032 I slot print_timing: id  0 | task 47 | reasoning effort = medium
13.49.045 I slot print_timing: id  0 | task 48 | prompt eval time =    1029.90 ms /   452 tokens (    2.28 ms per token,   438.90 tokens per second)  [31744 cached]
13.49.045 I slot print_timing: id  0 | task 48 |        eval time =   88247.50 ms /  4685 tokens (   18.84 ms per token,    53.10 tokens per second)
13.49.045 I slot print_timing: id  0 | task 48 | draft acceptance = 0.69356 ( 3164 accepted /  4562 generated)
13.49.045 I slot print_timing: id  0 | task 48 | reasoning effort = medium
13.57.980 I slot print_timing: id  0 | task 49 | prompt eval time =    7856.20 ms /  4926 tokens (    1.59 ms per token,   627.00 tokens per second)  [32000 cached]
13.57.980 I slot print_timing: id  0 | task 49 |        eval time =     888.70 ms /    60 tokens (   14.81 ms per token,    67.50 tokens per second)
13.57.980 I slot print_timing: id  0 | task 49 | draft acceptance = 1.00000 (   45 accepted /    45 generated)
13.57.980 I slot print_timing: id  0 | task 49 | reasoning effort = medium
14.01.264 I slot print_timing: id  0 | task 50 | prompt eval time =     448.10 ms /   182 tokens (    2.46 ms per token,   406.20 tokens per second)  [36864 cached]
