25.24.850 I slot print_timing: id  0 | task 93 | prompt eval time =    1058.20 ms /   511 tokens (    2.07 ms per token,   482.90 tokens per second)  [29184 cached]
25.24.850 I slot print_timing: id  0 | task 93 |        eval time =    1769.90 ms /   117 tokens (   15.13 ms per token,    66.10 tokens per second)
25.24.850 I slot print_timing: id  0 | task 93 | draft acceptance = 0.95556 (   86 accepted /    90 generated)
25.24.850 I slot print_timing: id  0 | task 93 | reasoning effort = medium
25.28.123 I slot print_timing: id  0 | task 94 | prompt eval time =     957.90 ms /   427 tokens (    2.24 ms per token,   445.80 tokens per second)  [29440 cached]
25.28.123 I slot print_timing: id  0 | task 94 |        eval time =    2176.90 ms /   133 tokens (   16.37 ms per token,    61.10 tokens per second)
25.28.123 I slot print_timing: id  0 | task 94 | draft acceptance = 0.84821 (   95 accepted /   112 generated)
25.28.123 I slot print_timing: id  0 | task 94 | reasoning effort = medium
25.37.747 I slot print_timing: id  0 | task 95 | prompt eval time =    1066.50 ms /   551 tokens (    1.94 ms per token,   516.60 tokens per second)  [29696 cached]
25.37.747 I slot print_timing: id  0 | task 95 |        eval time =    8281.80 ms /   540 tokens (   15.34 ms per token,    65.20 tokens per second)
25.37.747 I slot print_timing: id  0 | task 95 | draft acceptance = 0.90575 (  394 accepted /   435 generated)
25.37.747 I slot print_timing: id  0 | task 95 | reasoning effort = medium
25.42.292 I slot print_timing: id  0 | task 96 | prompt eval time =    1311.20 ms /   658 tokens (    1.99 ms per token,   501.80 tokens per second)  [30208 cached]
25.42.292 I slot print_timing: id  0 | task 96 |        eval time =    3086.70 ms /   191 tokens (   16.16 ms per token,    61.90 tokens per second)
25.42.292 I slot print_timing: id  0 | task 96 | draft acceptance = 0.85625 (  137 accepted /   160 generated)
25.42.292 I slot print_timing: id  0 | task 96 | reasoning effort = medium
25.45.492 I slot print_timing: id  0 | task 97 | prompt eval time =     947.90 ms /   392 tokens (    2.42 ms per token,   413.50 tokens per second)  [30720 cached]
25.45.492 I slot print_timing: id  0 | task 97 |        eval time =    2103.90 ms /   137 tokens (   15.36 ms per token,    65.10 tokens per second)
25.45.492 I slot print_timing: id  0 | task 97 | draft acceptance = 0.90090 (  100 accepted /   111 generated)
25.45.492 I slot print_timing: id  0 | task 97 | reasoning effort = medium
25.57.371 I slot print_timing: id  0 | task 98 | prompt eval time =     847.50 ms /   357 tokens (    2.37 ms per token,   421.30 tokens per second)  [30976 cached]
25.57.371 I slot print_timing: id  0 | task 98 |        eval time =   10878.30 ms /   744 tokens (   14.62 ms per token,    68.40 tokens per second)
25.57.371 I slot print_timing: id  0 | task 98 | draft acceptance = 0.96167 (  552 accepted /   574 generated)
25.57.371 I slot print_timing: id  0 | task 98 | reasoning effort = medium
26.00.371 I slot print_timing: id  0 | task 99 | prompt eval time =    1702.70 ms /   929 tokens (    1.83 ms per token,   545.60 tokens per second)  [31232 cached]
26.00.371 I slot print_timing: id  0 | task 99 |        eval time =    1141.70 ms /    78 tokens (   14.64 ms per token,    68.30 tokens per second)
26.00.371 I slot print_timing: id  0 | task 99 | draft acceptance = 0.96667 (   58 accepted /    60 generated)
26.00.371 I slot print_timing: id  0 | task 99 | reasoning effort = medium
26.03.913 I slot print_timing: id  0 | task 100 | prompt eval time =     696.00 ms /   299 tokens (    2.33 ms per token,   429.60 tokens per second)  [32000 cached]
26.03.913 I slot print_timing: id  0 | task 100 |        eval time =    2211.80 ms /   138 tokens (   16.03 ms per token,    62.40 tokens per second)
26.03.913 I slot print_timing: id  0 | task 100 | draft acceptance = 0.86087 (   99 accepted /   115 generated)
26.03.913 I slot print_timing: id  0 | task 100 | reasoning effort = medium
26.05.346 I slot print_timing: id  0 | task 101 | prompt eval time =     530.60 ms /   237 tokens (    2.24 ms per token,   446.60 tokens per second)  [32256 cached]
26.05.346 I slot print_timing: id  0 | task 101 |        eval time =     755.40 ms /    49 tokens (   15.42 ms per token,    64.90 tokens per second)
26.05.346 I slot print_timing: id  0 | task 101 | draft acceptance = 0.94737 (   36 accepted /    38 generated)
26.05.346 I slot print_timing: id  0 | task 101 | reasoning effort = medium
26.24.324 I slot print_timing: id  0 | task 102 | prompt eval time =    2540.70 ms /  1578 tokens (    1.61 ms per token,   621.10 tokens per second)  [32256 cached]
26.24.324 I slot print_timing: id  0 | task 102 |        eval time =   16286.50 ms /   942 tokens (   17.29 ms per token,    57.80 tokens per second)
26.24.324 I slot print_timing: id  0 | task 102 | draft acceptance = 0.78014 (  660 accepted /   846 generated)
26.24.324 I slot print_timing: id  0 | task 102 | reasoning effort = medium
26.29.856 I slot print_timing: id  0 | task 103 | prompt eval time =    2461.50 ms /  1416 tokens (    1.74 ms per token,   575.30 tokens per second)  [33792 cached]
26.29.856 I slot print_timing: id  0 | task 103 |        eval time =    2668.60 ms /   157 tokens (   17.00 ms per token,    58.80 tokens per second)
26.29.856 I slot print_timing: id  0 | task 103 | draft acceptance = 0.82222 (  111 accepted /   135 generated)
26.29.856 I slot print_timing: id  0 | task 103 | reasoning effort = medium
26.37.820 I slot print_timing: id  0 | task 104 | prompt eval time =     852.40 ms /   352 tokens (    2.42 ms per token,   413.00 tokens per second)  [35072 cached]
26.37.820 I slot print_timing: id  0 | task 104 |        eval time =    6440.60 ms /   396 tokens (   16.26 ms per token,    61.50 tokens per second)
26.37.820 I slot print_timing: id  0 | task 104 | draft acceptance = 0.86364 (  285 accepted /   330 generated)
26.37.820 I slot print_timing: id  0 | task 104 | reasoning effort = medium
26.51.030 I slot print_timing: id  0 | task 105 | prompt eval time =    1401.00 ms /   529 tokens (    2.65 ms per token,   377.60 tokens per second)  [35328 cached]
26.51.030 I slot print_timing: id  0 | task 105 |        eval time =   11652.80 ms /   681 tokens (   17.11 ms per token,    58.40 tokens per second)
26.51.030 I slot print_timing: id  0 | task 105 | draft acceptance = 0.79734 (  480 accepted /   602 generated)
26.51.030 I slot print_timing: id  0 | task 105 | reasoning effort = medium
27.44.314 I slot print_timing: id  0 | task 107 | prompt eval time =    1621.30 ms /  1004 tokens (    1.61 ms per token,   619.20 tokens per second)
27.44.314 I slot print_timing: id  0 | task 107 |        eval time =   25858.70 ms /  1540 tokens (   16.79 ms per token,    59.60 tokens per second)
27.44.314 I slot print_timing: id  0 | task 107 | draft acceptance = 0.69886 ( 1042 accepted /  1491 generated)
27.44.314 I slot print_timing: id  0 | task 107 | reasoning effort = xhigh
28.20.241 I slot print_timing: id  0 | task 107 | prompt eval time =   27106.20 ms / 21301 tokens (    1.27 ms per token,   785.80 tokens per second)
28.20.241 I slot print_timing: id  0 | task 107 |        eval time =    8813.10 ms /   551 tokens (   15.99 ms per token,    62.50 tokens per second)
