33.49.134 I slot print_timing: id  0 | task 122 | prompt eval time =   27236.70 ms / 21308 tokens (    1.28 ms per token,   782.30 tokens per second)
33.49.134 I slot print_timing: id  0 | task 122 |        eval time =    6907.30 ms /   435 tokens (   15.88 ms per token,    63.00 tokens per second)
33.49.134 I slot print_timing: id  0 | task 122 | draft acceptance = 0.83827 (  311 accepted /   371 generated)
33.49.134 I slot print_timing: id  0 | task 122 | reasoning effort = medium
33.55.556 I slot print_timing: id  0 | task 123 | prompt eval time =    1677.10 ms /   982 tokens (    1.71 ms per token,   585.50 tokens per second)  [21248 cached]
33.55.556 I slot print_timing: id  0 | task 123 |        eval time =    3888.40 ms /   276 tokens (   14.09 ms per token,    71.00 tokens per second)
33.55.556 I slot print_timing: id  0 | task 123 | draft acceptance = 0.98565 (  206 accepted /   209 generated)
33.55.556 I slot print_timing: id  0 | task 123 | reasoning effort = medium
34.31.763 I slot print_timing: id  0 | task 124 | prompt eval time =    2516.80 ms /  1644 tokens (    1.53 ms per token,   653.20 tokens per second)  [22016 cached]
34.31.763 I slot print_timing: id  0 | task 124 |        eval time =   33529.80 ms /  1956 tokens (   17.14 ms per token,    58.30 tokens per second)
34.31.763 I slot print_timing: id  0 | task 124 | draft acceptance = 0.75697 ( 1358 accepted /  1794 generated)
34.31.763 I slot print_timing: id  0 | task 124 | reasoning effort = medium
34.47.386 I slot print_timing: id  0 | task 125 | prompt eval time =    3350.50 ms /  2220 tokens (    1.51 ms per token,   662.60 tokens per second)  [23552 cached]
34.47.386 I slot print_timing: id  0 | task 125 |        eval time =   12015.90 ms /   774 tokens (   15.52 ms per token,    64.40 tokens per second)
34.47.386 I slot print_timing: id  0 | task 125 | draft acceptance = 0.87363 (  560 accepted /   641 generated)
34.47.386 I slot print_timing: id  0 | task 125 | reasoning effort = medium
35.04.129 I slot print_timing: id  0 | task 126 | prompt eval time =    1708.70 ms /  1067 tokens (    1.60 ms per token,   624.40 tokens per second)  [25600 cached]
35.04.129 I slot print_timing: id  0 | task 126 |        eval time =   14905.60 ms /   898 tokens (   16.60 ms per token,    60.20 tokens per second)
35.04.129 I slot print_timing: id  0 | task 126 | draft acceptance = 0.79723 (  633 accepted /   794 generated)
35.04.129 I slot print_timing: id  0 | task 126 | reasoning effort = medium
35.18.567 I slot print_timing: id  0 | task 127 | prompt eval time =    1558.00 ms /  1025 tokens (    1.52 ms per token,   657.90 tokens per second)  [26624 cached]
35.18.567 I slot print_timing: id  0 | task 127 |        eval time =   12736.30 ms /   870 tokens (   14.64 ms per token,    68.30 tokens per second)
35.18.567 I slot print_timing: id  0 | task 127 | draft acceptance = 0.94135 (  642 accepted /   682 generated)
35.18.567 I slot print_timing: id  0 | task 127 | reasoning effort = medium
