1.07.849 I slot print_timing: id  0 | task 4 | prompt eval time =    4145.90 ms /  1004 tokens (    4.13 ms per token,   242.20 tokens per second)
1.07.849 I slot print_timing: id  0 | task 4 |        eval time =   36587.90 ms /  1770 tokens (   20.67 ms per token,    48.40 tokens per second)
1.07.849 I slot print_timing: id  0 | task 4 | draft acceptance = 0.52672 ( 1084 accepted /  2058 generated)
1.07.849 I slot print_timing: id  0 | task 4 | reasoning effort = xhigh
1.28.773 I slot print_timing: id  0 | task 6 | prompt eval time =     417.00 ms /   238 tokens (    1.75 ms per token,   570.80 tokens per second)  [768 cached]
1.28.773 I slot print_timing: id  0 | task 6 |        eval time =   20479.40 ms /  1046 tokens (   19.58 ms per token,    51.10 tokens per second)
1.28.773 I slot print_timing: id  0 | task 6 | draft acceptance = 0.55386 (  653 accepted /  1179 generated)
1.28.773 I slot print_timing: id  0 | task 6 | reasoning effort = xhigh
2.05.072 I slot print_timing: id  0 | task 6 | prompt eval time =   27542.20 ms / 21306 tokens (    1.29 ms per token,   773.60 tokens per second)
2.05.072 I slot print_timing: id  0 | task 6 |        eval time =    8748.40 ms /   547 tokens (   15.99 ms per token,    62.50 tokens per second)
2.05.072 I slot print_timing: id  0 | task 6 | draft acceptance = 0.86026 (  394 accepted /   458 generated)
2.05.072 I slot print_timing: id  0 | task 6 | reasoning effort = medium
2.43.402 I slot print_timing: id  0 | task 7 | prompt eval time =   27482.60 ms / 21299 tokens (    1.29 ms per token,   775.00 tokens per second)
2.43.402 I slot print_timing: id  0 | task 7 |        eval time =   10836.60 ms /   548 tokens (   19.77 ms per token,    50.60 tokens per second)
2.43.402 I slot print_timing: id  0 | task 7 | draft acceptance = 0.83191 (  391 accepted /   470 generated)
2.43.402 I slot print_timing: id  0 | task 7 | reasoning effort = medium
3.02.102 I slot print_timing: id  0 | task 8 | prompt eval time =     455.90 ms /   238 tokens (    1.92 ms per token,   522.00 tokens per second)  [768 cached]
3.02.102 I slot print_timing: id  0 | task 8 |        eval time =   18201.20 ms /   801 tokens (   22.72 ms per token,    44.00 tokens per second)
3.02.102 I slot print_timing: id  0 | task 8 | draft acceptance = 0.64548 (  528 accepted /   818 generated)
3.02.102 I slot print_timing: id  0 | task 8 | reasoning effort = xhigh
3.36.071 I slot print_timing: id  0 | task 10 | prompt eval time =   27185.60 ms / 21307 tokens (    1.28 ms per token,   783.80 tokens per second)
3.36.071 I slot print_timing: id  0 | task 10 |        eval time =    6777.70 ms /   431 tokens (   15.73 ms per token,    63.60 tokens per second)
3.36.071 I slot print_timing: id  0 | task 10 | draft acceptance = 0.84426 (  309 accepted /   366 generated)
3.36.071 I slot print_timing: id  0 | task 10 | reasoning effort = medium
3.41.877 I slot print_timing: id  0 | task 10 | prompt eval time =    1904.10 ms /  1091 tokens (    1.75 ms per token,   573.00 tokens per second)  [21248 cached]
3.41.877 I slot print_timing: id  0 | task 10 |        eval time =    3873.70 ms /   276 tokens (   14.04 ms per token,    71.20 tokens per second)
3.41.877 I slot print_timing: id  0 | task 10 | draft acceptance = 0.98565 (  206 accepted /   209 generated)
3.41.877 I slot print_timing: id  0 | task 10 | reasoning effort = medium
3.44.937 I slot print_timing: id  0 | task 10 | prompt eval time =    1194.20 ms /   769 tokens (    1.55 ms per token,   643.90 tokens per second)  [21248 cached]
3.44.937 I slot print_timing: id  0 | task 10 |        eval time =    1835.40 ms /   111 tokens (   16.54 ms per token,    60.50 tokens per second)
3.44.937 I slot print_timing: id  0 | task 10 | draft acceptance = 0.78788 (   78 accepted /    99 generated)
3.44.937 I slot print_timing: id  0 | task 10 | reasoning effort = medium
4.04.399 I slot print_timing: id  0 | task 10 | prompt eval time =     414.30 ms /   236 tokens (    1.76 ms per token,   569.60 tokens per second)  [768 cached]
4.04.399 I slot print_timing: id  0 | task 10 |        eval time =   19018.90 ms /  1183 tokens (   16.08 ms per token,    62.20 tokens per second)
4.04.399 I slot print_timing: id  0 | task 10 | draft acceptance = 0.75368 (  820 accepted /  1088 generated)
4.04.399 I slot print_timing: id  0 | task 10 | reasoning effort = xhigh
4.15.622 I slot print_timing: id  0 | task 10 | prompt eval time =    4267.40 ms /  2868 tokens (    1.49 ms per token,   672.10 tokens per second)  [18432 cached]
4.15.622 I slot print_timing: id  0 | task 10 |        eval time =    6924.80 ms /   431 tokens (   16.07 ms per token,    62.20 tokens per second)
4.15.622 I slot print_timing: id  0 | task 10 | draft acceptance = 0.83696 (  308 accepted /   368 generated)
4.15.622 I slot print_timing: id  0 | task 10 | reasoning effort = medium
4.22.614 I slot print_timing: id  0 | task 11 | prompt eval time =    1765.30 ms /  1110 tokens (    1.59 ms per token,   628.80 tokens per second)  [21248 cached]
4.22.614 I slot print_timing: id  0 | task 11 |        eval time =    4414.00 ms /   315 tokens (   14.01 ms per token,    71.40 tokens per second)
4.22.614 I slot print_timing: id  0 | task 11 | draft acceptance = 0.99578 (  236 accepted /   237 generated)
4.22.614 I slot print_timing: id  0 | task 11 | reasoning effort = medium
5.28.986 I slot print_timing: id  0 | task 12 | prompt eval time =    3860.40 ms /  2454 tokens (    1.57 ms per token,   635.70 tokens per second)  [22272 cached]
5.28.986 I slot print_timing: id  0 | task 12 |        eval time =   62333.40 ms /  3605 tokens (   17.29 ms per token,    57.80 tokens per second)
5.28.986 I slot print_timing: id  0 | task 12 | draft acceptance = 0.82461 ( 2567 accepted /  3113 generated)
5.28.986 I slot print_timing: id  0 | task 12 | reasoning effort = medium
5.35.991 I slot print_timing: id  0 | task 13 | prompt eval time =    5774.20 ms /  3837 tokens (    1.50 ms per token,   664.50 tokens per second)  [24576 cached]
5.35.991 I slot print_timing: id  0 | task 13 |        eval time =    1093.70 ms /    67 tokens (   16.32 ms per token,    61.30 tokens per second)
5.35.991 I slot print_timing: id  0 | task 13 | draft acceptance = 0.88889 (   48 accepted /    54 generated)
5.35.991 I slot print_timing: id  0 | task 13 | reasoning effort = medium
5.40.315 I slot print_timing: id  0 | task 14 | prompt eval time =     849.50 ms /   365 tokens (    2.33 ms per token,   429.70 tokens per second)  [28160 cached]
5.40.315 I slot print_timing: id  0 | task 14 |        eval time =    3336.10 ms /   225 tokens (   14.83 ms per token,    67.40 tokens per second)
5.40.315 I slot print_timing: id  0 | task 14 | draft acceptance = 0.94857 (  166 accepted /   175 generated)
5.40.315 I slot print_timing: id  0 | task 14 | reasoning effort = medium
5.43.847 I slot print_timing: id  0 | task 15 | prompt eval time =     957.00 ms /   416 tokens (    2.30 ms per token,   434.70 tokens per second)  [28416 cached]
5.43.847 I slot print_timing: id  0 | task 15 |        eval time =    2422.70 ms /   152 tokens (   15.94 ms per token,    62.70 tokens per second)
5.43.847 I slot print_timing: id  0 | task 15 | draft acceptance = 0.88000 (  110 accepted /   125 generated)
5.43.847 I slot print_timing: id  0 | task 15 | reasoning effort = medium
5.50.351 I slot print_timing: id  0 | task 16 | prompt eval time =     859.00 ms /   366 tokens (    2.35 ms per token,   426.10 tokens per second)  [28672 cached]
5.50.351 I slot print_timing: id  0 | task 16 |        eval time =    5512.10 ms /   348 tokens (   15.84 ms per token,    63.10 tokens per second)
5.50.351 I slot print_timing: id  0 | task 16 | draft acceptance = 0.87153 (  251 accepted /   288 generated)
5.50.351 I slot print_timing: id  0 | task 16 | reasoning effort = medium
5.54.212 I slot print_timing: id  0 | task 17 | prompt eval time =    1075.20 ms /   540 tokens (    1.99 ms per token,   502.20 tokens per second)  [28928 cached]
5.54.212 I slot print_timing: id  0 | task 17 |        eval time =    2634.60 ms /   171 tokens (   15.41 ms per token,    64.90 tokens per second)
5.54.212 I slot print_timing: id  0 | task 17 | draft acceptance = 0.90580 (  125 accepted /   138 generated)
5.54.212 I slot print_timing: id  0 | task 17 | reasoning effort = medium
5.56.486 I slot print_timing: id  0 | task 18 | prompt eval time =     695.00 ms /   283 tokens (    2.46 ms per token,   407.20 tokens per second)  [29440 cached]
5.56.486 I slot print_timing: id  0 | task 18 |        eval time =    1434.70 ms /    97 tokens (   14.79 ms per token,    67.60 tokens per second)
5.56.486 I slot print_timing: id  0 | task 18 | draft acceptance = 0.98630 (   72 accepted /    73 generated)
5.56.486 I slot print_timing: id  0 | task 18 | reasoning effort = medium
6.03.593 I slot print_timing: id  0 | task 19 | prompt eval time =     421.80 ms /   180 tokens (    2.34 ms per token,   426.80 tokens per second)  [29696 cached]
6.03.593 I slot print_timing: id  0 | task 19 |        eval time =    6547.70 ms /   422 tokens (   15.52 ms per token,    64.50 tokens per second)
6.03.593 I slot print_timing: id  0 | task 19 | draft acceptance = 0.89244 (  307 accepted /   344 generated)
6.03.593 I slot print_timing: id  0 | task 19 | reasoning effort = medium
6.07.739 I slot print_timing: id  0 | task 20 | prompt eval time =    1345.00 ms /   682 tokens (    1.97 ms per token,   507.10 tokens per second)  [29696 cached]
6.07.739 I slot print_timing: id  0 | task 20 |        eval time =    2634.80 ms /   156 tokens (   16.89 ms per token,    59.20 tokens per second)
6.07.739 I slot print_timing: id  0 | task 20 | draft acceptance = 0.79710 (  110 accepted /   138 generated)
6.07.739 I slot print_timing: id  0 | task 20 | reasoning effort = medium
6.10.780 I slot print_timing: id  0 | task 21 | prompt eval time =     893.20 ms /   381 tokens (    2.34 ms per token,   426.60 tokens per second)  [30208 cached]
6.10.780 I slot print_timing: id  0 | task 21 |        eval time =    2005.20 ms /   128 tokens (   15.67 ms per token,    63.80 tokens per second)
6.10.780 I slot print_timing: id  0 | task 21 | draft acceptance = 0.91176 (   93 accepted /   102 generated)
6.10.780 I slot print_timing: id  0 | task 21 | reasoning effort = medium
6.24.999 I slot print_timing: id  0 | task 22 | prompt eval time =    1107.90 ms /   337 tokens (    3.29 ms per token,   304.20 tokens per second)  [30464 cached]
6.24.999 I slot print_timing: id  0 | task 22 |        eval time =   12958.80 ms /   869 tokens (   14.91 ms per token,    67.10 tokens per second)
6.24.999 I slot print_timing: id  0 | task 22 | draft acceptance = 0.93713 (  641 accepted /   684 generated)
6.24.999 I slot print_timing: id  0 | task 22 | reasoning effort = medium
6.28.236 I slot print_timing: id  0 | task 23 | prompt eval time =    2063.90 ms /  1034 tokens (    2.00 ms per token,   501.00 tokens per second)  [30720 cached]
6.28.236 I slot print_timing: id  0 | task 23 |        eval time =    1018.80 ms /    68 tokens (   14.98 ms per token,    66.70 tokens per second)
6.28.236 I slot print_timing: id  0 | task 23 | draft acceptance = 0.94340 (   50 accepted /    53 generated)
6.28.236 I slot print_timing: id  0 | task 23 | reasoning effort = medium
6.32.189 I slot print_timing: id  0 | task 24 | prompt eval time =     410.30 ms /   139 tokens (    2.95 ms per token,   338.80 tokens per second)  [31744 cached]
6.32.189 I slot print_timing: id  0 | task 24 |        eval time =    2874.60 ms /   156 tokens (   18.43 ms per token,    54.30 tokens per second)
6.32.189 I slot print_timing: id  0 | task 24 | draft acceptance = 0.72109 (  106 accepted /   147 generated)
6.32.189 I slot print_timing: id  0 | task 24 | reasoning effort = medium
6.37.544 I slot print_timing: id  0 | task 25 | prompt eval time =     853.10 ms /   355 tokens (    2.40 ms per token,   416.10 tokens per second)  [31744 cached]
6.37.544 I slot print_timing: id  0 | task 25 |        eval time =    3822.10 ms /   213 tokens (   17.94 ms per token,    55.70 tokens per second)
6.37.544 I slot print_timing: id  0 | task 25 | draft acceptance = 0.72637 (  146 accepted /   201 generated)
6.37.544 I slot print_timing: id  0 | task 25 | reasoning effort = medium
6.43.491 I slot print_timing: id  0 | task 26 | prompt eval time =    1060.90 ms /   462 tokens (    2.30 ms per token,   435.50 tokens per second)  [32000 cached]
6.43.491 I slot print_timing: id  0 | task 26 |        eval time =    4595.90 ms /   300 tokens (   15.32 ms per token,    65.30 tokens per second)
6.43.491 I slot print_timing: id  0 | task 26 | draft acceptance = 0.91667 (  220 accepted /   240 generated)
6.43.491 I slot print_timing: id  0 | task 26 | reasoning effort = medium
6.45.555 I slot print_timing: id  0 | task 27 | prompt eval time =    1087.60 ms /   558 tokens (    1.95 ms per token,   513.10 tokens per second)  [32256 cached]
6.45.555 I slot print_timing: id  0 | task 27 |        eval time =     825.10 ms /    50 tokens (   16.50 ms per token,    60.60 tokens per second)
6.45.555 I slot print_timing: id  0 | task 27 | draft acceptance = 0.92308 (   36 accepted /    39 generated)
6.45.555 I slot print_timing: id  0 | task 27 | reasoning effort = medium
7.24.081 I slot print_timing: id  0 | task 28 | prompt eval time =    2350.70 ms /  1388 tokens (    1.69 ms per token,   590.50 tokens per second)  [32768 cached]
7.24.081 I slot print_timing: id  0 | task 28 |        eval time =   35998.70 ms /  1896 tokens (   18.99 ms per token,    52.70 tokens per second)
7.24.081 I slot print_timing: id  0 | task 28 | draft acceptance = 0.69210 ( 1279 accepted /  1848 generated)
7.24.081 I slot print_timing: id  0 | task 28 | reasoning effort = medium
7.36.125 I slot print_timing: id  0 | task 29 | prompt eval time =    3642.20 ms /  2218 tokens (    1.64 ms per token,   609.00 tokens per second)  [34048 cached]
7.36.125 I slot print_timing: id  0 | task 29 |        eval time =    8080.00 ms /   462 tokens (   17.49 ms per token,    57.20 tokens per second)
7.36.125 I slot print_timing: id  0 | task 29 | draft acceptance = 0.77458 (  323 accepted /   417 generated)
7.36.125 I slot print_timing: id  0 | task 29 | reasoning effort = medium
7.47.290 I slot print_timing: id  0 | task 30 | prompt eval time =    1760.50 ms /   932 tokens (    1.89 ms per token,   529.40 tokens per second)  [36096 cached]
7.47.290 I slot print_timing: id  0 | task 30 |        eval time =    8986.70 ms /   497 tokens (   18.08 ms per token,    55.30 tokens per second)
7.47.290 I slot print_timing: id  0 | task 30 | draft acceptance = 0.75109 (  344 accepted /   458 generated)
7.47.290 I slot print_timing: id  0 | task 30 | reasoning effort = medium
7.58.471 I slot print_timing: id  0 | task 31 | prompt eval time =    1500.40 ms /   807 tokens (    1.86 ms per token,   537.90 tokens per second)  [36864 cached]
7.58.471 I slot print_timing: id  0 | task 31 |        eval time =    8116.50 ms /   393 tokens (   20.65 ms per token,    48.40 tokens per second)
7.58.471 I slot print_timing: id  0 | task 31 | draft acceptance = 0.62044 (  255 accepted /   411 generated)
7.58.471 I slot print_timing: id  0 | task 31 | reasoning effort = medium
8.37.415 I slot print_timing: id  0 | task 32 | prompt eval time =    1394.00 ms /   694 tokens (    2.01 ms per token,   497.90 tokens per second)  [37632 cached]
8.37.415 I slot print_timing: id  0 | task 32 |        eval time =   37203.60 ms /  1975 tokens (   18.84 ms per token,    53.10 tokens per second)
