11.46.388 I slot print_timing: id  0 | task 43 | prompt eval time =     498.50 ms /   217 tokens (    2.30 ms per token,   435.30 tokens per second)  [28928 cached]
11.46.388 I slot print_timing: id  0 | task 43 |        eval time =   14167.50 ms /   932 tokens (   15.20 ms per token,    65.80 tokens per second)
11.46.388 I slot print_timing: id  0 | task 43 | draft acceptance = 0.92308 (  684 accepted /   741 generated)
11.46.388 I slot print_timing: id  0 | task 43 | reasoning effort = medium
11.55.894 I slot print_timing: id  0 | task 44 | prompt eval time =    2007.80 ms /  1188 tokens (    1.69 ms per token,   591.70 tokens per second)  [28928 cached]
11.55.894 I slot print_timing: id  0 | task 44 |        eval time =    7331.90 ms /   415 tokens (   17.67 ms per token,    56.60 tokens per second)
11.55.894 I slot print_timing: id  0 | task 44 | draft acceptance = 0.75131 (  287 accepted /   382 generated)
11.55.894 I slot print_timing: id  0 | task 44 | reasoning effort = medium
11.59.736 I slot print_timing: id  0 | task 45 | prompt eval time =    1253.90 ms /   633 tokens (    1.98 ms per token,   504.80 tokens per second)  [29952 cached]
11.59.736 I slot print_timing: id  0 | task 45 |        eval time =    2444.30 ms /   152 tokens (   16.08 ms per token,    62.20 tokens per second)
11.59.736 I slot print_timing: id  0 | task 45 | draft acceptance = 0.86508 (  109 accepted /   126 generated)
11.59.736 I slot print_timing: id  0 | task 45 | reasoning effort = medium
12.15.813 I slot print_timing: id  0 | task 46 | prompt eval time =     853.80 ms /   359 tokens (    2.38 ms per token,   420.50 tokens per second)  [30464 cached]
12.15.813 I slot print_timing: id  0 | task 46 |        eval time =   15068.10 ms /   998 tokens (   15.10 ms per token,    66.20 tokens per second)
12.15.813 I slot print_timing: id  0 | task 46 | draft acceptance = 0.92911 (  734 accepted /   790 generated)
12.15.813 I slot print_timing: id  0 | task 46 | reasoning effort = medium
12.19.032 I slot print_timing: id  0 | task 47 | prompt eval time =    2036.10 ms /  1186 tokens (    1.72 ms per token,   582.50 tokens per second)  [30720 cached]
12.19.032 I slot print_timing: id  0 | task 47 |        eval time =    1025.90 ms /    66 tokens (   15.54 ms per token,    64.30 tokens per second)
12.19.032 I slot print_timing: id  0 | task 47 | draft acceptance = 0.92308 (   48 accepted /    52 generated)
12.19.032 I slot print_timing: id  0 | task 47 | reasoning effort = medium
13.49.045 I slot print_timing: id  0 | task 48 | prompt eval time =    1029.90 ms /   452 tokens (    2.28 ms per token,   438.90 tokens per second)  [31744 cached]
13.49.045 I slot print_timing: id  0 | task 48 |        eval time =   88247.50 ms /  4685 tokens (   18.84 ms per token,    53.10 tokens per second)
13.49.045 I slot print_timing: id  0 | task 48 | draft acceptance = 0.69356 ( 3164 accepted /  4562 generated)
13.49.045 I slot print_timing: id  0 | task 48 | reasoning effort = medium
13.57.980 I slot print_timing: id  0 | task 49 | prompt eval time =    7856.20 ms /  4926 tokens (    1.59 ms per token,   627.00 tokens per second)  [32000 cached]
13.57.980 I slot print_timing: id  0 | task 49 |        eval time =     888.70 ms /    60 tokens (   14.81 ms per token,    67.50 tokens per second)
13.57.980 I slot print_timing: id  0 | task 49 | draft acceptance = 1.00000 (   45 accepted /    45 generated)
