106.36.807 I slot print_timing: id  0 | task 429 | prompt eval time =    2468.90 ms /  1631 tokens (    1.51 ms per token,   660.60 tokens per second)  [22016 cached]
106.36.807 I slot print_timing: id  0 | task 429 |        eval time =   38130.10 ms /  2153 tokens (   17.71 ms per token,    56.50 tokens per second)
106.36.807 I slot print_timing: id  0 | task 429 | draft acceptance = 0.72397 ( 1474 accepted /  2036 generated)
106.36.807 I slot print_timing: id  0 | task 429 | reasoning effort = medium
106.51.695 I slot print_timing: id  0 | task 430 | prompt eval time =    3781.00 ms /  2413 tokens (    1.57 ms per token,   638.20 tokens per second)  [23552 cached]
106.51.695 I slot print_timing: id  0 | task 430 |        eval time =   10843.70 ms /   693 tokens (   15.65 ms per token,    63.90 tokens per second)
106.51.695 I slot print_timing: id  0 | task 430 | draft acceptance = 0.86655 (  500 accepted /   577 generated)
106.51.695 I slot print_timing: id  0 | task 430 | reasoning effort = medium
107.18.590 I slot print_timing: id  0 | task 431 | prompt eval time =    1646.20 ms /   922 tokens (    1.79 ms per token,   560.10 tokens per second)  [25856 cached]
107.18.590 I slot print_timing: id  0 | task 431 |        eval time =   25118.80 ms /  1498 tokens (   16.77 ms per token,    59.60 tokens per second)
107.18.590 I slot print_timing: id  0 | task 431 | draft acceptance = 0.78995 ( 1053 accepted /  1333 generated)
107.18.590 I slot print_timing: id  0 | task 431 | reasoning effort = medium
107.34.045 I slot print_timing: id  0 | task 432 | prompt eval time =    2689.80 ms /  1720 tokens (    1.56 ms per token,   639.40 tokens per second)  [26624 cached]
107.34.045 I slot print_timing: id  0 | task 432 |        eval time =   12624.00 ms /   886 tokens (   14.25 ms per token,    70.20 tokens per second)
107.34.045 I slot print_timing: id  0 | task 432 | draft acceptance = 0.99400 (  663 accepted /   667 generated)
107.34.045 I slot print_timing: id  0 | task 432 | reasoning effort = medium
107.37.721 I slot print_timing: id  0 | task 433 | prompt eval time =    1988.60 ms /  1155 tokens (    1.72 ms per token,   580.80 tokens per second)  [28160 cached]
107.37.721 I slot print_timing: id  0 | task 433 |        eval time =    1546.00 ms /    98 tokens (   15.78 ms per token,    63.40 tokens per second)
107.37.721 I slot print_timing: id  0 | task 433 | draft acceptance = 0.88750 (   71 accepted /    80 generated)
107.37.721 I slot print_timing: id  0 | task 433 | reasoning effort = medium
107.44.009 I slot print_timing: id  0 | task 434 | prompt eval time =     902.40 ms /   513 tokens (    1.76 ms per token,   568.50 tokens per second)  [29184 cached]
107.44.009 I slot print_timing: id  0 | task 434 |        eval time =    4675.80 ms /   299 tokens (   15.64 ms per token,    63.90 tokens per second)
107.44.009 I slot print_timing: id  0 | task 434 | draft acceptance = 0.88211 (  217 accepted /   246 generated)
107.44.009 I slot print_timing: id  0 | task 434 | reasoning effort = medium
107.50.857 I slot print_timing: id  0 | task 435 | prompt eval time =    1606.80 ms /   895 tokens (    1.80 ms per token,   557.00 tokens per second)  [29184 cached]
